Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical,Interlocking work from Devsthan to Primary School via Bhalare culvert in village Narkheda (Salarpur),Interlocking work from Devsthan to Primary School via Bhalare culvert in village Narkheda (Salarpur),Please Refer To Tender ,NA ,"29,80,095",Civil Works,NA ,Tender,90.0,90.0,Vikas Bhawan Badaun,243601.0,NA ,NA ,NA ,"RED, Vikas Bhawan, Badaun",No ,No,854.0,Nil,Nil,No,"Executive Engineer, RED, Division Badaun","Office of Executive Engineer, Rural Engineering Department, Division Badaun, Room No. 226, First Floor, Vikas Bhawan, Badaun 243601","60,000",Yes,fixed,,Nil,Nil,07-May-2026 09:00 AM,21-May-2026 04:00 PM,07-May-2026 09:00 AM,21-May-2026 12:00 PM,NA ,NA ,07-May-2026 09:00 AM,21-May-2026 12:00 PM,06-Jun-2026 12:00 PM,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BADAUN,05/RED/e-Tender/2025-26 Date 02.04.2026,2026_REDUP_1145992_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Financial Bid Opened,BHOOPENDRA PRATAP SINGH,06-Jun-2026 02:01 PM,,BOQ Comparative Chart,Executive Engineer,Internal,AE and DAO,BHOOPENDRA PRATAP SINGH,01-Jun-2026 02:00 PM,06-Jun-2026 12:00 PM,techsummary_2142871.pdf (617.32 KB),Technical,Technical Bid Opened.,BHOOPENDRA PRATAP SINGH,21-May-2026 05:08 PM,,Executive Engineer,Internal,AE and DAO,BHOOPENDRA PRATAP SINGH,10-Jun-2026 05:17 PM,finsummary_2142871.pdf (1271.81 KB),24-Jun-2026,"INR 2,974,134.33",90.0,BHOOPENDRA PRATAP SINGH,20-Jul-2026 05:39 PM,41.pdf (472.00 KB),Agreement Cost For Construction Without GST,1.0,6129244.0,M/S JANNAT ENTERPRISES,INR,"2,974,134.33",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BADAUN,2026_REDUP_1145992_8,05/RED/e-Tender/2025-26 Date 02.04.2026,Interlocking work from Devsthan to Primary School via Bhalare culvert in village Narkheda (Salarpur),1,6129281,M/S BABA ENTERPRISES,21-May-2026 12:02 AM,Rejected-Finance,Due To Higher Rate,10-Jun-2026 05:17 PM,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6129244,M/S JANNAT ENTERPRISES,21-May-2026 12:09 AM,Accepted-AOC,Due To Lower Rate,20-Jul-2026 05:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6132223,M/S SATISH CHANDRA GUPTA CONTRACTOR AND SUPLIERS,20-May-2026 08:08 PM,Rejected-Finance,Due To Higher Rate,10-Jun-2026 05:17 PM,AOC
