Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,01/SE RED/tender/2026-27 Dt 01-04-2026,2026_REDUP_1145967_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,15,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,sbd,09-May-2026 10:00 AM,26-May-2026 12:30 PM,09-May-2026 10:00 AM,25-May-2026 02:00 PM,NA ,NA ,09-May-2026 10:00 AM,25-May-2026 02:00 PM,06-Jun-2026 12:00 PM,Gram sabha gotva me chandapur se gotva patel basti chaurahe tak sadak nirman karya,Gram sabha gotva me chandapur se gotva patel basti chaurahe tak sadak nirman karya,Please refer Tender documents. ,NA ,"57,57,000",Civil Works,NA ,Tender,90.0,120.0,Mirzapur,231001.0,NA ,NA ,NA ,SUPERINTENDING ENGINEER RURAL ENGINEERING DEPARTME,No ,No,1.0,date,Date,,SUPRINTENDING ENGINEER,Near Jahanvi Hotel Putlighar Mirzapur,1.0,SBI Bank,"3,514",Nil,Nil,No,AOC,1.0,6138073.0,M/S PRITHVI NATH TIWARI,INR,"5,754,003",Finance,fiana,Lalita Verma,06-Jun-2026 03:15 PM,,BOQ Comparative Chart,SE,Internal,EEDAO,Pooja Rani,14-Jul-2026 03:03 PM,finsummary_2144040.pdf (22.46 KB),1,6137665,M/s Jai Maa Vindhyavasini Construction Company,23-May-2026 04:20 PM,Rejected-Finance,l2,14-Jul-2026 03:03 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,2026_REDUP_1145967_17,01/SE RED/tender/2026-27 Dt 01-04-2026,Gram sabha gotva me chandapur se gotva patel basti chaurahe tak sadak nirman karya,14-Jul-2026,"INR 5,754,003",120.0,Pooja Rani,14-Jul-2026 03:11 PM,17AOC.pdf (294.00 KB),Technical,tech,Pooja Rani,30-May-2026 04:43 PM,,SE,Internal,EEDAO,Lalita Verma,02-Jun-2026 05:12 PM,06-Jun-2026 12:00 PM,techsummary_2144040.pdf (277.54 KB),AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6138073,M/S PRITHVI NATH TIWARI,23-May-2026 08:12 PM,Accepted-AOC,AOC,14-Jul-2026 03:11 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
