Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,211/RED/Tender Notice/2026-27 Dt 12-05-2026,2026_REDUP_1159027_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,944.0,Nil,Nil,No,Vikas Khand majhwa ke gram kohadiya me mahesh vishwakarma ke makan se mansa devi ke makan tak interlocking ka karya,Vikas Khand majhwa ke gram kohadiya me mahesh vishwakarma ke makan se mansa devi ke makan tak interlocking ka karya,Please refer Tender documents. ,NA ,"12,27,000",Civil Works,NA ,Tender,90.0,90.0,mirapur,231001.0,NA ,NA ,NA ,Executive Engineer,No ,No,Executive Engineer,Near Jahanvi Hotel Putlighar Mirzapur,10-Jun-2026 04:00 PM,17-Jun-2026 12:30 PM,10-Jun-2026 04:00 PM,16-Jun-2026 12:00 PM,NA ,NA ,10-Jun-2026 04:00 PM,16-Jun-2026 12:00 PM,27-Jun-2026 12:00 PM,1.0,SBI Bank,"26,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,sbd,AOC,Technical,tech,Lalita Verma,18-Jun-2026 03:45 PM,,EE,Internal,DAOAE,Lalita Verma,27-Jun-2026 01:30 PM,finsummary_2172240.pdf (22.91 KB),Finance,finan,Lalita Verma,27-Jun-2026 01:05 PM,,BOQ Comparative Chart,EE,Internal,DAOAE,Vimal Kumar,24-Jun-2026 05:49 PM,27-Jun-2026 12:00 PM,techsummary_2172240.pdf (348.62 KB),03-Jul-2026,"INR 1,226,703",90.0,Vimal Kumar,15-Jul-2026 05:05 PM,mishra.pdf (272.00 KB),1,6190385,M/S MAHENDRA KUMAR SINGH,14-Jun-2026 09:04 AM,Rejected-Finance,l2,27-Jun-2026 01:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,2026_REDUP_1159027_1,211/RED/Tender Notice/2026-27 Dt 12-05-2026,Vikas Khand majhwa ke gram kohadiya me mahesh vishwakarma ke makan se mansa devi ke makan tak interlocking ka karya,1.0,6189070.0,M/S NAGENDRA CONSTRUCTION,INR,"1,226,703",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6189070,M/S NAGENDRA CONSTRUCTION,13-Jun-2026 06:30 PM,Accepted-AOC,AOC,15-Jul-2026 05:05 PM,,,,,,,,,,AOC
