Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,"87,600",No,fixed,,"Dy. CAO, CFAandBO, PTEP, Panki.",Kanpur,"UP Rajya Vidyut Utpadan Nigam Ltd||Panki Thermal Power Project, UPRVUNL, Kanpur",ET-06/1x660MW/SE(HQ)/CSD/2026,2026_RVUNL_1156321_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,"Superintending Engineer-HQ, PTEP, Panki, Kanpur","Superintending Engineer-HQ, 1x660MW PTEP, Panki, Kanpur","5,168","Dy. CAO, CFAandBO, PTEP, Panki.",Kanpur,No,1.0,RTGS - RTGS Payment,02-Jun-2026 02:00 PM,25-Jun-2026 04:00 PM,02-Jun-2026 02:00 PM,24-Jun-2026 02:00 PM,02-Jun-2026 04:00 PM ,24-Jun-2026 02:00 PM ,02-Jun-2026 04:00 PM,24-Jun-2026 02:00 PM,10-Jul-2026 11:00 AM,"Work of design, fabrication, supply, erection and installation of heavy-duty storage racks in permanent Store Shed No. 01 and 03 at PTEP, Panki, Kanpur.","Work of design, fabrication, supply, erection and installation of heavy-duty storage racks in permanent Store Shed No. 01 and 03 at PTEP, Panki, Kanpur.",As per Tender Documents ,NA ,"43,79,616",Miscellaneous Works,NA ,Tender,180.0,45.0,"CSD, 1x660MW, PTEP, Panki.",208020.0,NA ,NA ,NA ,"Superintending Engineer-HQ, PTEP, Panki, Kanpur",No ,No,1.0,Date Extension,Date,,AOC,"Cheif Engineer, PTEP, Panki.",Internal,"Sri, Shivesh Rastogi, Dy. CAO, Er. Ram Kumar, Superintending Engineer (HQ), Er. Satya Swaroop Atal, Executive Engineer",RAM KUMAR,09-Jul-2026 04:33 PM,10-Jul-2026 11:00 AM,techsummary_2166866.pdf (1982.22 KB),Finance,Financial Bid Summary,RAM KUMAR,17-Jul-2026 05:59 PM,finance_2166866.pdf,BOQ Comparative Chart,"Cheif Engineer, PTEP, Panki",Internal,"Superintending Engineer (HQ), Dy. CAO (CFAandBO), Executive Engineer.",RAM KUMAR,17-Jul-2026 06:04 PM,finsummary_2166866.pdf (385.69 KB),Technical,Technical Bid Summary,RAM KUMAR,06-Jul-2026 12:27 PM,technical_2166866.pdf,"UP Rajya Vidyut Utpadan Nigam Ltd||Panki Thermal Power Project, UPRVUNL, Kanpur",2026_RVUNL_1156321_1,ET-06/1x660MW/SE(HQ)/CSD/2026,"Work of design, fabrication, supply, erection and installation of heavy-duty storage racks in permanent Store Shed No. 01 and 03 at PTEP, Panki, Kanpur.",1.0,6215487.0,M/S SHAHZADEY KHAN,INR,"4,374,000",1,6215949,Deen Dayal,24-Jun-2026 12:28 PM,Rejected-Finance,As per L-3,17-Jul-2026 06:04 PM,20-Jul-2026,"INR 4,374,000",45.0,RAM KUMAR,17-Jul-2026 06:21 PM,LOIShahade.pdf (15400.00 KB),AOC
,,.pdf,Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6215423,INDIA ENGINEERING WORKS,23-Jun-2026 07:12 PM,Rejected-Finance,As per L-2,17-Jul-2026 06:04 PM,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6211897,M/S SANJU ENTERPRISES,23-Jun-2026 08:40 PM,Rejected-Technical,due to not fulfill PQC,09-Jul-2026 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6215487,M/S SHAHZADEY KHAN,23-Jun-2026 08:10 PM,Accepted-AOC,The firm has submitted the revised offer after negotiation. The LOI may be placed to the firm.,17-Jul-2026 06:21 PM,,,,,,,AOC
