S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,"2,65,000",No,fixed,,Nil,Nil,13-May-2026 12:00 PM,28-May-2026 04:00 PM,13-May-2026 12:00 PM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 12:00 PM,28-May-2026 12:00 PM,30-Jun-2026 12:30 PM,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,"2,714",Nil,Nil,No,Construction of a new asphalt road from Village Badhela to Village Nawada Sonvarsha in Development Block Sindhauli.,Construction of a new asphalt road from Village Badhela to Village Nawada Sonvarsha in Development Block Sindhauli.,Please refer Tender documents. ,NA ,"1,32,40,000",Civil Works - Roads,NA ,Tender,90.0,180.0,SINDHAULI SHAHJAHANPUR,242001.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,13-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_30,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,AOC,Finance,financial bid open,RAJESH KUMAR,21-Jul-2026 02:03 PM,finance_2148398.pdf,BOQ Comparative Chart,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,21-Jul-2026 02:06 PM,finsummary_2148398.pdf (721.28 KB),1.0,6141946.0,M/S SHRI SHIV ENTERPRISES,INR,"15,538,835",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_30,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,Construction of a new asphalt road from Village Badhela to Village Nawada Sonvarsha in Development Block Sindhauli.,1,6144398,Mahadev Construction,27-May-2026 04:51 PM,Rejected-Finance,DUE TO HIGHER RATE,21-Jul-2026 02:06 PM,24-Jul-2026,"INR 15,538,835",180.0,RAJESH KUMAR,24-Jul-2026 02:26 PM,AOCSHIV.pdf (2337.00 KB),AOC OF THE WORK- Construction of a new asphalt road from Village Badhela to Village Nawada Sonvarsha in Development Block Sindhauli.,Technical,technical summary attached,RAJESH KUMAR,23-Jun-2026 10:11 PM,technical_2148398.pdf,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILYEEREDDIVSIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,23-Jun-2026 10:13 PM,30-Jun-2026 12:30 PM,techsummary_2148398.pdf (578.86 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,AOC,,,,,,,,,,,,,,,,,,,,,,2,6141946,M/S SHRI SHIV ENTERPRISES,26-May-2026 07:56 AM,Accepted-AOC,DUE TO L1,24-Jul-2026 02:26 PM,,,,,,,,,,,,,,,,,,,,AOC
