Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Under District Jaunpur, Construction of road from Ramnagar Pradhan Tiraha to Nishad Basti of Khand Badlapur, Lot No 1","Under District Jaunpur, Construction of road from Ramnagar Pradhan Tiraha to Nishad Basti of Khand Badlapur, Lot No 1",Please refer Tender documents. ,NA ,"29,37,000",Civil Works,NA ,Tender,90.0,90.0,Jaunpur,222001.0,"EE RED Jaunpur, Vikas Bhawan, Jaunpur ","EE RED Jaunpur, Vikas Bhawan, Jaunpur ",28-May-2026 11:00 AM ,"EE RED Jaunpur, Vikas Bhawan, Jaunpur",No ,No,1.0,SBI Bank,25-May-2026 09:00 AM,02-Jun-2026 12:30 PM,25-May-2026 09:00 AM,02-Jun-2026 12:00 PM,NA ,NA ,25-May-2026 09:00 AM,02-Jun-2026 12:00 PM,10-Jun-2026 11:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,350/EE RED Jaunpur/26-27 Dt 16/05/2026,2026_REDUP_1152671_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"EE RED Jaunpur, Vikas Bhawan, Jaunpur","EE RED Jaunpur, Vikas Bhawan, Jaunpur","58,740",No,percentage,2.0%,Nil,Nil,944.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,AOC,Finance,Summary,Neeraj Kumar,10-Jun-2026 02:33 PM,,BOQ Comparative Chart,Er Neeraj Kumar EE RED Jaunpur,Internal,"Er Neeraj Kumar EE RED Jaunpur, Er Maya Shankar AE RED Jaunpur, Er Alok Kumar AE RED Jaunpur, Mr Jai Prakash DAO RED Jaunpur",Alok Kumar,04-Jun-2026 07:29 PM,10-Jun-2026 11:00 AM,techsummary_2159341.pdf (397.81 KB),Technical,Summary,Neeraj Kumar,02-Jun-2026 04:00 PM,,Er Neeraj Kumar EE RED Jaunpur,Internal,,Neeraj Kumar,03-Jul-2026 09:06 AM,finsummary_2159341.pdf (1181.32 KB),03-Jul-2026,"INR 3,466,690",90.0,JAI PRAKASH,03-Jul-2026 09:32 AM,350_1.pdf (1181.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2026_REDUP_1152671_1,350/EE RED Jaunpur/26-27 Dt 16/05/2026,"Under District Jaunpur, Construction of road from Ramnagar Pradhan Tiraha to Nishad Basti of Khand Badlapur, Lot No 1",1.0,6159388.0,PRAYASH CONSTRUCTION,INR,"3,466,690",1,6159365,MAHADEV TRADERS,01-Jun-2026 03:56 PM,Rejected-Finance,Rejected,03-Jul-2026 09:06 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6159388,PRAYASH CONSTRUCTION,01-Jun-2026 04:10 AM,Accepted-AOC,AoC,03-Jul-2026 09:32 AM,AOC
