S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6245707.0,m/s manoj kumar singh,INR,"1,164,557.65",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,2026_SCIDC_1163570_2,308/EE/Ballia/E-Tender/2026-27 dt. 23.06.2026,"Construction of Additional Class Room-1, Guard Room Block Pandah, Akel in District Ballia.",1,6245707,m/s manoj kumar singh,10-Jul-2026 07:15 AM,Accepted-AOC,Below Rate,27-Jul-2026 05:14 PM,21-Jul-2026,"INR 1,164,557.65",180.0,Madan Singh,27-Jul-2026 05:14 PM,Order.pdf (970.00 KB),"Construction of Additional Class Room-1, Guard Room Block Pandah, Akel in District Ballia.","Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.,",Madan Singh,20-Jul-2026 11:35 AM,finsummary_2187358.pdf (246.03 KB),Technical,Technical Bid,Madan Singh,16-Jul-2026 02:40 PM,technical_2187358.pdf,"Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.",Madan Singh,16-Jul-2026 02:42 PM,16-Jul-2026 02:45 PM,techsummary_2187358.pdf (198.22 KB),Finance,Financial,Madan Singh,20-Jul-2026 11:31 AM,finance_2187358.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,Notice,1,FDR - Fixed Deposit,Executive Engineer UPSCIDC Ltd Azamgarh,Maa Shanti Niwas Opp. Dr. Javed Aarajibagh Azamgarh 276001,03-Jul-2026 06:55 PM,10-Jul-2026 02:30 PM,03-Jul-2026 06:55 PM,10-Jul-2026 02:00 PM,NA ,NA ,03-Jul-2026 06:55 PM,10-Jul-2026 02:00 PM,16-Jul-2026 02:45 PM,"1,652",UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,308/EE/Ballia/E-Tender/2026-27 dt. 23.06.2026,2026_SCIDC_1163570_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Construction of Additional Class Room-1, Guard Room Block Pandah, Akel in District Ballia.","Construction of Additional Class Room-1, Guard Room Block Pandah, Akel in District Ballia.",Please refer tender Documents ,NA ,"11,70,645",Civil Works,NA ,Tender,90.0,NA ,Ballia,277001.0,NA ,NA ,NA ,Executive Engineer UPSCIDC Ltd Azamgarh,No ,No,"23,500",No,fixed,,UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,AOC
,,,,,,,,,2,6244646,VK ENTERPRISES,09-Jul-2026 05:21 PM,Rejected-Finance,High Rate,20-Jul-2026 11:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
