Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,tender document,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,354.0,Nil,Nil,No,"55,600",Yes,fixed,,Nil,Nil,07-Jul-2026 02:00 PM,17-Jul-2026 11:00 AM,07-Jul-2026 02:00 PM,16-Jul-2026 02:00 PM,07-Jul-2026 02:00 PM ,13-Jul-2026 02:00 PM ,07-Jul-2026 02:00 PM,16-Jul-2026 02:00 PM,22-Jul-2026 03:00 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,08/EE/MLCD/KNP/Koda/2026-27,2026_UPIDM_1167277_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER MLCD KANPUR,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,1.0,SBI Bank,Fabrication of MS header,Fabrication of MS header,AS per NIT ,NA ,"32,74,609",Metal Fabrication,CANAL ,Tender,90.0,30.0,"KODA PUMP CANAL,FATEHPUR",212659.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,No ,No,AOC,GYANENDRA MANI TRIPATHI,Internal,"EXECUTIVE ENGINEER MLCD KANPUR,EXECUTIVE TUBEWELL CONSTRUCTION DIVISION KANPUR,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,22-Jul-2026 11:43 AM,22-Jul-2026 03:00 PM,techsummary_2189285.pdf (445.22 KB),Finance,financial,GYANENDRA MANI TRIPATHI,23-Jul-2026 03:04 PM,finance_2189285.pdf,BOQ Comparative Chart,GYANENDRA MANI TRIPATHI,Internal,"EXECUTIVE ENGINEER MLCD KANPUR,EXECUTIVE ENGINEER TCD KANPUR,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,23-Jul-2026 03:11 PM,finsummary_2189285.pdf (445.22 KB),Technical,technical bid opened,GYANENDRA MANI TRIPATHI,22-Jul-2026 11:38 AM,technical_2189285.pdf,1.0,6256141.0,swastik traders,INR,"2,976,619",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,2026_UPIDM_1167277_1,08/EE/MLCD/KNP/Koda/2026-27,Fabrication of MS header,1.0,6255345.0,M/s Jai Contraction,15-Jul-2026 11:55 AM,Rejected-Finance,higher rate quoted,23-Jul-2026 03:11 PM,29-Jul-2026,"INR 2,976,619",30.0,GYANENDRA MANI TRIPATHI,24-Jul-2026 11:45 AM,aockoda8.pdf (250.00 KB),FINANCIAL OPENED,AOC
2.0,Finance,.xls,financial,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6255316.0,Singh Contractor,15-Jul-2026 11:43 AM,Rejected-Finance,higher rate quoted,23-Jul-2026 03:11 PM,,,,,,,,AOC
,,,,3,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6256141.0,swastik traders,15-Jul-2026 04:59 PM,Accepted-AOC,LOWEST,24-Jul-2026 11:45 AM,,,,,,,,AOC
,,,,4,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,11,Tax related documents ,Sale Tax clearance certificate / VAT clearance certificate of bidder ,Sale Tax clearance certificate / VAT clearance certificate of bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,12,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,13,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,14,Technical Details ,Detailed testing facilities ,Detailed testing facilities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,15,Technical Details ,Detailed design of the item ,Detailed design of the item ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,16,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,17,Technical Details ,Drawings/Catalogues etc. ,Drawings/Catalogues etc. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
