S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,FDR - Fixed Deposit,10-Jul-2026 04:00 PM,16-Jul-2026 01:00 PM,10-Jul-2026 04:00 PM,16-Jul-2026 12:00 PM,NA ,NA ,10-Jul-2026 04:00 PM,16-Jul-2026 12:00 PM,17-Jul-2026 12:25 PM,Executive Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",Solar LED Street Light at Various Blocks at Distt. Amethi (Vidhayak Nidhi work),Solar LED Street Light at Various Blocks at Distt. Amethi (Vidhayak Nidhi work),Solar LED Street Light at Various Blocks at Distt. Amethi (Vidhayak Nidhi work) ,NA ,,Electrical Works,NA ,Tender,90.0,90.0,Amethi,227405.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,407/EE(E)/Lucknow-Amethi/26-27 dt 10.7.26,2026_SCIDC_1168328_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"23,000",No,fixed,,UPSCIDCOLTD,Amethi,1,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document","1,655",UPSCIDCOLTD,Amethi,No,AOC,Technical,Attached,Ram Nayan,17-Jul-2026 12:17 PM,technical_2191453.pdf,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,17-Jul-2026 05:35 PM,finsummary_2191453.pdf (361.18 KB),Finance,Attached,Ram Nayan,17-Jul-2026 05:30 PM,finance_2191453.pdf,BOQ Comparative Chart,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,17-Jul-2026 12:23 PM,17-Jul-2026 12:25 PM,techsummary_2191453.pdf (517.26 KB),20-Jul-2026,"INR 1,142,105.78",90.0,Ram Nayan,21-Jul-2026 01:22 PM,Anag.pdf (552.00 KB),Attached,1,6254960,Anagh Solutions,16-Jul-2026 10:10 AM,Accepted-AOC,Lowest Rate Accepted,21-Jul-2026 01:22 PM,1.0,6254960.0,Anagh Solutions,INR,"1,142,105.78",U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1168328_1,407/EE(E)/Lucknow-Amethi/26-27 dt 10.7.26,Solar LED Street Light at Various Blocks at Distt. Amethi (Vidhayak Nidhi work),AOC
2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6254937,Suresh Enterprises,16-Jul-2026 10:05 AM,Rejected-Finance,Quoted Amount Rate in high,17-Jul-2026 05:35 PM,,,,,,,,,,AOC
