Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
28-May-2026 10:00 AM,02-Jun-2026 03:00 PM,28-May-2026 10:00 AM,02-Jun-2026 01:00 PM,28-May-2026 10:00 AM ,02-Jun-2026 01:00 PM ,28-May-2026 10:00 AM,02-Jun-2026 01:00 PM,08-Jun-2026 10:00 AM,1.0,SBI Bank,CLEARANCE OF PATHRATAL DRAIN FROM KM. 5.000 TO KM. 10.000,CLEARANCE OF PATHRATAL DRAIN FROM KM. 5.000 TO KM. 10.000,Please refer Tender documents. ,NA ,"8,20,000",Civil Works,NA ,Tender,90.0,30.0,Siddharthnagar,272153.0,NA ,NA ,NA ,Office EE Saryu Drainage Division-2 Siddharthnagar,No ,No,"82,000",No,fixed,,Nil,Nil,766.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,EE,Office EE Saryu Drainage Division-2 Siddharthnagar,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SDD-2 Siddharth Nagar",01/EE/2026-27,2026_UPIDC_1152642_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC,Dinesh Kumar Tripathi,Internal,Birender Paswan,DINESH KUMAR TRIPATHI,16-Jun-2026 12:16 PM,finsummary_2159316.pdf (286.71 KB),Technical,BidSummary1,DINESH KUMAR TRIPATHI,06-Jun-2026 05:26 PM,,Dinesh Kumar Tripathi,Internal,Birender Paswan,DINESH KUMAR TRIPATHI,06-Jun-2026 05:34 PM,08-Jun-2026 10:00 AM,techsummary_2159316.pdf (496.79 KB),Finance,ETF1,DINESH KUMAR TRIPATHI,16-Jun-2026 11:28 AM,,BOQ Comparative Chart,1.0,6159519.0,AKANKSHA ASSOCIATES,INR,"345,442.8","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SDD-2 Siddharth Nagar",2026_UPIDC_1152642_1,01/EE/2026-27,CLEARANCE OF PATHRATAL DRAIN FROM KM. 5.000 TO KM. 10.000,1,6159519,AKANKSHA ASSOCIATES,01-Jun-2026 08:59 PM,Accepted-AOC,Due to Lowest Rate,07-Jul-2026 04:42 PM,07-Jul-2026,"INR 345,442.8",30.0,DINESH KUMAR TRIPATHI,07-Jul-2026 04:42 PM,ETF1.pdf (287.00 KB),AOC,1.0,Tender Revocation,Tender Revocation,06-Jun-2026 04:33 PM,Sudhipatr.pdf ,233.32,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6152209,angel consturtion compnay,29-May-2026 06:25 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6156792,devendra kumar pandey,01-Jun-2026 03:55 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6153083,Krishna construction,30-May-2026 08:55 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6160911,M/S ARYA ENTERPRISES,02-Jun-2026 09:50 AM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6159798,M/S JAI AMBAY CONSTRUCTION,01-Jun-2026 09:37 PM,Rejected-Technical,All Not OK,06-Jun-2026 05:34 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6160519,M/S JAY MAA DURGE ENTERPRISES,02-Jun-2026 11:58 AM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6160189,M/S NANDIKA CONSTRUCTION,01-Jun-2026 07:52 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6161564,M/S OM PRAKASH,02-Jun-2026 11:40 AM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6159816,M/S SHIV SHAKTI CONSTRUCTION COMPANY,01-Jun-2026 06:02 PM,Rejected-Finance,Due to Higher Rate,16-Jun-2026 12:16 PM,,,,,,,,,,,,,,,AOC
