S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,6191650.0,M/S SHRI BANKE BIHARI CONSTGRUCTION AND SUPPLYER,INR,"86,803.2","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||Irrigation Division Kannauj",2026_UPIDC_1157095_4,02/EE/2026-27,Silt Clearance of Jinaura Supplimentry Cut Drain From Km. 4.000 to 0.000 for the year 2026-27,1,6191650,M/S SHRI BANKE BIHARI CONSTGRUCTION AND SUPPLYER,13-Jun-2026 10:24 AM,Accepted-AOC,L1,08-Jul-2026 11:46 AM,30-Jun-2026,"INR 86,803.2",20.0,SURYA MANI SINGH,08-Jul-2026 11:46 AM,004.pdf (288.00 KB),AOC,Surya Mani Singh E E,Internal,Rajkumar Ae III Vinay dev Tiwari Ae IV Ankur Kumar DAO,SURYA MANI SINGH,30-Jun-2026 01:27 PM,finsummary_2169926.pdf (200.18 KB),Technical,Technical Detail,SURYA MANI SINGH,16-Jun-2026 08:53 AM,technical_2169926.pdf,Surya Mani Singh E E,Internal,Rajkumar Ae III Vinay dev Tiwari Ae IV Ankur Kumar DAO,SURYA MANI SINGH,16-Jun-2026 09:21 AM,16-Jun-2026 09:30 AM,techsummary_2169926.pdf (274.80 KB),Finance,Financial detail,SURYA MANI SINGH,16-Jun-2026 10:43 AM,finance_2169926.pdf,BOQ Comparative Chart,AOC,767.0,Nil,Nil,No,"22,000",No,fixed,,Nil,Nil,08-Jun-2026 09:00 AM,13-Jun-2026 11:30 AM,08-Jun-2026 09:00 AM,13-Jun-2026 11:00 AM,NA ,NA ,08-Jun-2026 09:00 AM,13-Jun-2026 11:00 AM,16-Jun-2026 09:30 AM,1.0,SBI Bank,Silt Clearance of Jinaura Supplimentry Cut Drain From Km. 4.000 to 0.000 for the year 2026-27,Silt Clearance,Please refer Tender documents. ,NA ,"2,15,000",Civil Works - Others,NA ,Tender,90.0,20.0,Kannauj,209725.0,NA ,NA ,NA ,Kannauj,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||Irrigation Division Kannauj",02/EE/2026-27,2026_UPIDC_1157095_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,Executive Engineer Irrigation Division Kannauj,Office of Executive Engineer Irrigation Division Saraimeera Kannauj,AOC
,,,,,,,,,2,6191459,M/S TANYA CONSTRUCTIONS AND SUPPLIER,13-Jun-2026 12:04 AM,Rejected-Finance,L3,30-Jun-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,3,6191654,M/S Vinay Construction,13-Jun-2026 10:24 AM,Rejected-Finance,L2,30-Jun-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6186871,Rajendra and Brothers,10-Jun-2026 11:13 PM,Rejected-Finance,L4,30-Jun-2026 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6191495,Rangers Group,13-Jun-2026 07:34 AM,Rejected-Technical,Technical Unqualified,16-Jun-2026 09:21 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
