Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1132433_1,126/UPPCL/GM-1/2025-26/ETENDER Dated-25.03.2026,Construction of Bus Station Antu at District-Pratapgarh (U.P.),1.0,6034213.0,M/s Singh Traders,INR,"16,464,639.54",1,6035645,M/S ASHIRWAD ENTERPRISES,08-Apr-2026 11:50 AM,Rejected-AOC,Accept,10-Jul-2026 05:22 PM,10-Jul-2026,"INR 16,464,639.54",270.0,SURESH CHANDRA YADAV,10-Jul-2026 05:22 PM,Agr33.pdf (532.00 KB),Enclosed,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-2, Prayagraj, Accountant Unit-2, Prayagraj, General Manager(Technical), Lucknow",SURESH CHANDRA YADAV,18-Apr-2026 12:35 PM,20-Apr-2026 01:00 PM,techsummary_2113676.pdf (1161.40 KB),Finance,Enclosed,SURESH CHANDRA YADAV,10-Jul-2026 05:17 PM,finance_2113676.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-2, Prayagraj, Accountant Unit-2, Prayagraj, General Manager (Technical), Lucknow",SURESH CHANDRA YADAV,10-Jul-2026 05:20 PM,finsummary_2113676.pdf (456.01 KB),Technical,Enclosed,SURESH CHANDRA YADAV,18-Apr-2026 12:31 PM,technical_2113676.pdf,AOC,Construction of Bus Station Antu at District-Pratapgarh (U.P.),Construction of Bus Station Antu at District-Pratapgarh (U.P.),Please refer Tender documents. ,NA ,"1,65,97,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,District-Pratapgarh (U.P.),231001.0,NA ,NA ,NA ,Prayagraj,No ,No,1.0,SBI Bank,02-Apr-2026 11:00 AM,08-Apr-2026 03:00 PM,02-Apr-2026 11:00 AM,08-Apr-2026 02:00 PM,NA ,NA ,02-Apr-2026 11:00 AM,08-Apr-2026 02:00 PM,20-Apr-2026 01:00 PM,"3,32,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,BIDDOC,"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230 /1A, Mehdaury, Telirayganj District-Prayagraj.",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,126/UPPCL/GM-1/2025-26/ETENDER Dated-25.03.2026,2026_UPPRC_1132433_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"17,700",Nil,Nil,No,AOC
,,,,,,,,,2,6036525,M/S MANISH SINGH,08-Apr-2026 01:41 PM,Rejected-Technical,Reject,18-Apr-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6034213,M/s Singh Traders,08-Apr-2026 12:19 PM,Accepted-AOC,Accept,10-Jul-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
