Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
18-Apr-2026,"INR 898,370.7",120.0,BHUPENDRA RAI,31-Jul-2026 01:36 PM,KARYADESH.pdf (912.00 KB),L1- M/S RAGHVENDRA AND ASSOCIATES,1.0,5997318.0,Raghvendra And Associates,INR,"898,370.7",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Kanpur III,2026_UPRNS_1124015_1,36/E-TENDER/UPRNSS/FBD/2025-26 DT. 11.03.26,CONSTRUCTION OF 1 NO. GARAGE AT DISTRICT JAIL KANNAUJ IN DISTT.- KANNAUJ,1,5998210,M/S JAY MAA BUILDERS,23-Mar-2026 10:53 AM,Rejected-Finance,QUOTED RATE HIGHER THEN OTHER BIDDERS,28-Mar-2026 10:15 AM,Finance,ALL DOCUMENTS ARE OK,BHUPENDRA RAI,28-Mar-2026 09:57 AM,finance_2094419.pdf,BOQ Comparative Chart,BHUPENDRA RAI,Internal,"BIRENDRA SINGH YADAV, A.E. D.R. SINGH, ACCOUNT INCHARGE",BHUPENDRA RAI,25-Mar-2026 09:55 AM,25-Mar-2026 04:00 PM,techsummary_2094419.pdf (421.73 KB),Technical,ALL BIDS ARE OK,BHUPENDRA RAI,23-Mar-2026 02:55 PM,technical_2094419.pdf,BHUPENDRA RAI,Internal,"BIRENDRA SINGH YADAV, A.E. D.R. SINGH, ACTT. INCHARGE",BHUPENDRA RAI,28-Mar-2026 10:15 AM,finsummary_2094419.pdf (563.75 KB),AOC,12-Mar-2026 10:00 AM,23-Mar-2026 12:00 PM,12-Mar-2026 12:00 PM,23-Mar-2026 11:00 AM,NA ,NA ,12-Mar-2026 12:00 PM,23-Mar-2026 11:00 AM,25-Mar-2026 04:00 PM,CONSTRUCTION OF 1 NO. GARAGE AT DISTRICT JAIL KANNAUJ IN DISTT.- KANNAUJ,CONSTRUCTION OF 1 NO. GARAGE AT DISTRICT JAIL KANNAUJ IN DISTT.- KANNAUJ,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,DISTT. JAIL KANNAUJ U.P.,209725.0,NA ,NA ,NA ,UPRNSS FARRUKHABAD,No ,No,EXECUTIVE ENGINEERS,OFFICE EXECUTIVE ENGINEER UPRNSS NEAR THANA MAU DARWAJA FARRUKHABAD U.P.-209625,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,1.0,CORRIGENDUM,Other,,"1,770",EE UPRNSS,FARRUKHABAD,No,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Kanpur III,36/E-TENDER/UPRNSS/FBD/2025-26 DT. 11.03.26,2026_UPRNS_1124015_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,"18,000",No,fixed,,EE UPRNSS,FARRUKHABAD,AOC
,,,,,,,,,,,,,,,,2,5996216,M/S SHISHU PRATAP SINGH CONTRACTOR,22-Mar-2026 04:14 PM,Rejected-Finance,QUOTED RATE HIGHER THEN OTHER BIDDERS,28-Mar-2026 10:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5992750,PANCHSHEEL CONSTRUCTION,20-Mar-2026 04:39 PM,Rejected-Technical,BID DOCUMENTS ARE NOT AS PER REQUIRMENT,25-Mar-2026 09:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5997318,Raghvendra And Associates,22-Mar-2026 11:26 PM,Accepted-AOC,QUOTED RATE ARE BELOW THEN OTHER BIDDERS- L1,31-Jul-2026 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5992825,vineet and associates,22-Mar-2026 03:10 PM,Rejected-Technical,BID DOCUMENTS ARE NOT AS PER REQUIRMENT,25-Mar-2026 09:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
