Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,157/RED/cashier/26-27 dt 25-04-2026,2026_REDUP_1149756_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical document,18-May-2026 10:00 AM,25-May-2026 12:30 PM,18-May-2026 10:00 AM,25-May-2026 12:00 PM,NA ,NA ,18-May-2026 10:00 AM,25-May-2026 12:00 PM,06-Jun-2026 12:00 PM,Executive Engineer,EE red saharanpur vikas bhawan delhi road saharanpu,766.0,Nil,Nil,No,"20,500",No,fixed,,Nil,Nil,Gram Rundhali me Balwan singh ke ghar se janak ke ghar tak rangeen interlocking tiles road v nali nirman karya,Gram Rundhali me Balwan singh ke ghar se janak ke ghar tak rangeen interlocking tiles road v nali nirman karya,Gram Rundhali me Balwan singh ke ghar se janak ke ghar tak rangeen interlocking tiles road v nali nirman karya ,NA ,"10,20,000",Civil Works,NA ,Tender,90.0,90.0,EE red saharanpur,247001.0,EE red saharanpur vikas bhawan delhi road saharanp ,EE red saharanpur vikas bhawan delhi road saharanpur  ,19-May-2026 12:00 PM ,EE red saharanpur vikas bhawan delhi road saharanp,No ,No,1.0,SBI Bank,AOC,Finance,ok,Rajendra Kumar,15-Jul-2026 09:58 AM,,BOQ Comparative Chart,Ravi,Internal,pavan kumar rajender kumar,Kumari Ravi,06-Jun-2026 11:33 AM,06-Jun-2026 01:56 AM,techsummary_2152646.pdf (98.07 KB),Technical,admitted,Kumari Ravi,06-Jun-2026 10:37 AM,,Ravi,Internal,pavan kumar rajender kumar,Rajendra Kumar,15-Jul-2026 10:56 AM,finsummary_2152646.pdf (98.11 KB),15-Jul-2026,"INR 1,015,443",90.0,Rajendra Kumar,15-Jul-2026 10:10 AM,dd.pdf (98.00 KB),ok,1.0,6139609.0,RAVISH ENTERPRISES,INR,"1,015,443",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,2026_REDUP_1149756_1,157/RED/cashier/26-27 dt 25-04-2026,Gram Rundhali me Balwan singh ke ghar se janak ke ghar tak rangeen interlocking tiles road v nali nirman karya,1.0,6139639.0,M/S AFZAL AHMAD CONTRACTOR,24-May-2026 01:56 AM,Rejected-Finance,L2,15-Jul-2026 10:08 AM,AOC
,,,,,,,,,,,,,,,,.pdf,fess end emd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6139609.0,RAVISH ENTERPRISES,24-Aug-2026 01:56 AM,Accepted-AOC,ok,15-Jul-2026 10:10 AM,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
