Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Nali At Lal Bahadur Shastri Nagar side of Rajyans Nidhi Road,Construction of Nali At Lal Bahadur Shastri Nagar side of Rajyans Nidhi Road,Please refer Tender documents. ,NA ,"17,48,000",Civil Works,NA ,Tender,90.0,90.0,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,1.0,SBI Bank,"40,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,pdf,03-Jul-2026 09:00 AM,09-Jul-2026 02:00 PM,03-Jul-2026 09:00 AM,08-Jul-2026 05:00 PM,NA ,NA ,03-Jul-2026 09:00 AM,08-Jul-2026 05:00 PM,24-Jul-2026 01:00 PM,"2,500",Nil,Nil,No,eeredallahabad,eeredallahabad,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 740 date 22-06-2026,2026_REDUP_1165972_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,29-Jul-2026 05:57 PM,finsummary_2186853.pdf (481.80 KB),Technical,d,Satyaprakash Mishra,21-Jul-2026 12:48 PM,,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,21-Jul-2026 12:50 PM,24-Jul-2026 01:00 PM,techsummary_2186853.pdf (587.43 KB),Finance,d,Satyaprakash Mishra,24-Jul-2026 03:55 PM,,BOQ Comparative Chart,1,6234786,BADAM SINGH,06-Jul-2026 03:11 PM,Accepted-AOC,accepted,31-Jul-2026 12:48 PM,1.0,6234786.0,BADAM SINGH,INR,"1,746,440.87",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1165972_7,Notice No. 740 date 22-06-2026,Construction of Nali At Lal Bahadur Shastri Nagar side of Rajyans Nidhi Road,31-Jul-2026,"INR 1,746,440.87",90.0,Satyaprakash Mishra,31-Jul-2026 12:48 PM,rajyansh.pdf (532.00 KB),AWARD OF CONTRACT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6234808,SINGH CONSTRUCTION,06-Jul-2026 03:22 PM,Rejected-Finance,Higher,29-Jul-2026 05:57 PM,,,,,,,,,,,,,,,,,AOC
