Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Nagar panchayat harra vikas khand saroorpur khurd mai sardhana Binoli road se Ayyub Ke khet tak Kharnja Nirman Karya,Nagar panchayat harra vikas khand saroorpur khurd mai sardhana Binoli road se Ayyub Ke khet tak Kharnja Nirman Karya,Please refer Tender documents. ,NA ,"11,97,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Meerut,250002.0,NA ,NA ,NA ,EE RED MEERUT DIVISION,No ,No,1,Fee/PreQual/Technical,.pdf,Document,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,12/RED/Tavrit/26-27/dt-2-4-26,2026_REDUP_1147099_43,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"24,000",No,fixed,,Nil,Nil,856.0,Nil,Nil,No,14-May-2026 10:00 AM,22-May-2026 12:30 PM,14-May-2026 10:00 AM,21-May-2026 12:00 PM,NA ,NA ,14-May-2026 10:00 AM,21-May-2026 12:00 PM,05-Jun-2026 12:30 PM,1.0,SBI Bank,EE RED MEERUT DIVISION,VIKAS BHAWAN 2ND FLOOR COLLECTORATE MEERUT,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1147099_43,12/RED/Tavrit/26-27/dt-2-4-26,Nagar panchayat harra vikas khand saroorpur khurd mai sardhana Binoli road se Ayyub Ke khet tak Kharnja Nirman Karya,1,6119973,M/S V D CONTRACTOR,18-May-2026 05:25 PM,Accepted-AOC,L1 BIDDER,27-Jul-2026 03:56 PM,Finance,financial bid open,UDAY SHANKAR,27-Jul-2026 03:11 PM,,BOQ Comparative Chart,EE RED MEERUT DIVISION,Internal,,SHUBHAM PARLE,27-Jul-2026 03:40 PM,finsummary_2146565.pdf (390.61 KB),1.0,6119973.0,M/S V D CONTRACTOR,INR,"1,398,683",Technical,Technical bid open,SHUBHAM PARLE,25-May-2026 02:13 PM,,27-Jul-2026,"INR 1,398,683",90.0,SHUBHAM PARLE,27-Jul-2026 03:56 PM,sardhanbinoli.pdf (391.00 KB),V D CONSTRUCTION,EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,31-May-2026 11:57 AM,05-Jun-2026 12:30 PM,techsummary_2146565.pdf (199.58 KB),AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6119801,RUDRA CONTRACTOR AND SUPPLIERS,18-May-2026 08:49 PM,Rejected-Finance,high rate,27-Jul-2026 03:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
