Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,final,RAJNEESH KUMAR,27-Jun-2026 05:49 PM,,20-Jul-2026,"INR 1,188,417",90.0,RAJNEESH KUMAR,20-Jul-2026 07:39 PM,4pathoriya.pdf (330.00 KB),final,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Jun-2026 05:52 PM,30-Jun-2026 12:30 PM,techsummary_2150924.pdf (288.71 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1148834_19,85/RED/Tender/2025-26 Dated-08.04.2026,"Ward no 39, bahar datia gate pathoriya par dhobi samaj ki rajak dharmshala ke pass sarbajanik karikramo ke ayojan hetu ek hall ka nirman karya",1,6176632,LUCKY ENTERPRISES,08-Jun-2026 06:31 AM,Rejected-Finance,n,20-Jul-2026 07:37 PM,1.0,6176627.0,MAHADEV ENTERPRISES,INR,"1,188,417",Finance,final,RAJNEESH KUMAR,20-Jul-2026 07:35 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,10-May-2022 06:22 PM,finsummary_2150924.pdf (329.92 KB),AOC,854.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,sbd,"24,000",Yes,fixed,,Nil,Nil,EE RED Jhansi,EE RED Jhansi,"Ward no 39, bahar datia gate pathoriya par dhobi samaj ki rajak dharmshala ke pass sarbajanik karikramo ke ayojan hetu ek hall ka nirman karya","Ward no 39, bahar datia gate pathoriya par dhobi samaj ki rajak dharmshala ke pass sarbajanik karikramo ke ayojan hetu ek hall ka nirman karya",Please refer Tender documents. ,NA ,"11,96,000",Civil Works,NA ,Tender,90.0,90.0,"Ward no 39, bahar datia gate pathoriya par dhobi s",284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,1.0,date extand,Date,,16-May-2026 09:00 AM,08-Jun-2026 03:30 PM,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,NA ,NA ,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,30-Jun-2026 12:30 PM,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,85/RED/Tender/2025-26 Dated-08.04.2026,2026_REDUP_1148834_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6176627,MAHADEV ENTERPRISES,08-Jun-2026 06:24 AM,Accepted-AOC,y,20-Jul-2026 07:39 PM,,,,,,,,,,,,,,,,,,AOC,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
