Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage
Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED Gorakhpur Circle, Er Surya Prakash EE RED Deoria, Er Vivek Priya EE RED Gorakhpur, Mr Kanhaiya Lal DAO RED Deoria",Dileep Shukla,11-Jun-2026 10:32 AM,16-Jun-2026 12:00 PM,techsummary_2156400.pdf (887.20 KB),04-Jul-2026,"INR 5,561,333.64",180.0,Dileep Shukla,04-Jul-2026 09:07 AM,21_46.pdf (155.00 KB),Technical,Summary,Dileep Shukla,01-Jun-2026 02:38 PM,,Finance,Summary,Dileep Shukla,16-Jun-2026 02:55 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,03-Jul-2026 11:02 AM,finsummary_2156400.pdf (154.87 KB),1.0,6137869.0,M/S FBS CONSTRUCTION,INR,"5,561,333.64",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1150865_46,21/SE RED Gorakhpur/Deoria/26-27 Dt 02/04/2026,"Under District Deoria, Construction of road from Khampar scheduled settlement to Karondi godown, Lot No 45",1,6138409,M/S AMETHIYA CONSTRUCTION,28-May-2026 03:03 PM,Rejected-Finance,Rejected,03-Jul-2026 11:02 AM,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,21/SE RED Gorakhpur/Deoria/26-27 Dt 02/04/2026,2026_REDUP_1150865_46,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Deoria, Construction of road from Khampar scheduled settlement to Karondi godown, Lot No 45","Under District Deoria, Construction of road from Chauraha Gate to Jaiprakash Tiwari Ghotha in Gram Panchayat Bhadsar has been done by CC, Lot No 46",Please refer Tender documents. ,NA ,"47,16,000",Civil Works,NA ,Tender,90.0,NA ,Deoria,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",25-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,"2,714",Nil,Nil,No,21-May-2026 10:00 AM,01-Jun-2026 12:30 PM,21-May-2026 10:00 AM,30-May-2026 12:00 PM,NA ,NA ,21-May-2026 10:00 AM,30-May-2026 12:00 PM,16-Jun-2026 12:00 PM,"94,320",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6137869,M/S FBS CONSTRUCTION,27-May-2026 12:48 AM,Accepted-AOC,AoiC,04-Jul-2026 09:07 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,AOC
