Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,21/SE RED Gorakhpur/Deoria/26-27 Dt 02/04/2026,2026_REDUP_1150865_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Deoria, Construction of road up to Pyasi Gulbadan Singh house Construction Constructed Road from Pitch Marg to Chauhan Tola Link Road, Lot No 13","Under District Deoria, Construction of road up to Pyasi Gulbadan Singh house Construction Constructed Road from Pitch Marg to Chauhan Tola Link Road, Lot No 13",Please refer Tender documents. ,NA ,"49,23,000",Civil Works,NA ,Tender,90.0,NA ,Deoria,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",25-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,"98,460",No,percentage,2.0%,Nil,Nil,"2,714",Nil,Nil,No,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,21-May-2026 10:00 AM,01-Jun-2026 12:30 PM,21-May-2026 10:00 AM,30-May-2026 12:00 PM,NA ,NA ,21-May-2026 10:00 AM,30-May-2026 12:00 PM,16-Jun-2026 12:00 PM,AOC,1.0,6141559.0,SUNIL KUMAR RAO CONTRACTOR,INR,"5,803,320.88",Finance,Summary,Dileep Shukla,16-Jun-2026 03:39 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,20-Jul-2026 03:02 PM,finsummary_2156242.pdf (650.87 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1150865_13,21/SE RED Gorakhpur/Deoria/26-27 Dt 02/04/2026,"Under District Deoria, Construction of road up to Pyasi Gulbadan Singh house Construction Constructed Road from Pitch Marg to Chauhan Tola Link Road, Lot No 13",1,6141569,SUBH NARAYAN SINGH CONSTRUCTION,29-May-2026 04:42 PM,Rejected-Finance,Rejected,20-Jul-2026 03:02 PM,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED Gorakhpur Circle, Er Surya Prakash EE RED Deoria, Er Vivek Priya EE RED Gorakhpur, Mr Kanhaiya Lal DAO RED Deoria",Dileep Shukla,11-Jun-2026 10:01 AM,16-Jun-2026 12:00 PM,techsummary_2156242.pdf (932.28 KB),21-Jul-2026,"INR 5,803,320.88",180.0,Dileep Shukla,20-Jul-2026 06:01 PM,21_13.pdf (651.00 KB),Technical,Summary,Dileep Shukla,01-Jun-2026 03:31 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6141559,SUNIL KUMAR RAO CONTRACTOR,29-May-2026 03:29 PM,Accepted-AOC,AOC,20-Jul-2026 06:01 PM,,,,,,,,,,,,,,,,,,,AOC
