S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Corrigendum 2,Date,,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","27,400",No,fixed,,Nil,Nil,1.0,SBI Bank,840.0,Nil,Nil,No,"Providing and Laying Dry Brick Kharanja from Inayatpur road to Jahangirpur road Via Shakuntla Devi School, YEA WC-06","Providing and Laying Dry Brick Kharanja from Inayatpur road to Jahangirpur road Via Shakuntla Devi School, YEA WC-06",Please refer Tender documents. ,NA ,"13,64,839",Civil Works,NA ,Tender,90.0,90.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/457 DT-19/01/2026,2026_YEIDA_1108453_11,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,23-Jan-2026 06:55 PM,19-Feb-2026 11:00 AM,23-Jan-2026 06:55 PM,18-Feb-2026 05:00 PM,NA ,NA ,23-Jan-2026 06:55 PM,18-Feb-2026 05:00 PM,18-Mar-2026 12:00 PM,AOC,Yamuna Expressway Industrial Development Authority,2026_YEIDA_1108453_11,YEA/GM(PROJECT)/2026/457 DT-19/01/2026,"Providing and Laying Dry Brick Kharanja from Inayatpur road to Jahangirpur road Via Shakuntla Devi School, YEA WC-06",1.0,5886057.0,KRISHN CONSTRUCTION,17-Feb-2026 01:16 PM,Rejected-Finance,L3,20-Jul-2026 01:04 PM,1.0,5823305.0,PRABHAT ENTERPRISES,INR,"885,508.11",Finance,UNDER,BHARAM PAL SINGH,20-Jul-2026 12:47 PM,,BOQ Comparative Chart,Committee,Internal,Committee,BHARAM PAL SINGH,20-Jul-2026 01:04 PM,finsummary_2047317.pdf (920.57 KB),Technical,UNDER EVALUATION,BHARAM PAL SINGH,18-Mar-2026 11:20 AM,,20-Jul-2026,"INR 885,508.11",90.0,BHARAM PAL SINGH,20-Jul-2026 01:06 PM,prabhat.pdf (921.00 KB),AOC,Committee,Internal,Committee,BHARAM PAL SINGH,18-Mar-2026 11:33 AM,18-Mar-2026 12:00 PM,techsummary_2047317.pdf (703.27 KB),AOC
,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,5892046.0,PITAMBARA ASSOCIATE,18-Feb-2026 04:03 PM,Rejected-Finance,L4,20-Jul-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3.0,5823305.0,PRABHAT ENTERPRISES,09-Feb-2026 09:34 AM,Accepted-AOC,L1,20-Jul-2026 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4.0,5834125.0,RAJKAMAL CONTRACTOR and SUPPLIERS,06-Feb-2026 02:18 PM,Rejected-Finance,L2,20-Jul-2026 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
