Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
SE RED Circle Jhansi,SE RED Circle Jhansi,"2,354",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,33/SE/RED/Tender/Jhansi/26-27 Date 13-04-2026,2026_REDUP_1155905_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,sbd,1.0,SBI Bank,01-Jun-2026 09:00 AM,12-Jun-2026 03:30 PM,01-Jun-2026 09:00 AM,12-Jun-2026 12:00 PM,NA ,NA ,01-Jun-2026 09:00 AM,12-Jun-2026 12:00 PM,08-Jul-2026 12:30 PM,Ward No. 24 Bhagwantpura ke Toriya mohalla mai Sri Pooran pal ke makan se Mewa lal ke makan ki or apex road abam nali nirman,Ward No. 24 Bhagwantpura ke Toriya mohalla mai Sri Pooran pal ke makan se Mewa lal ke makan ki or apex road abam nali nirman,Please refer Tender documents. ,NA ,"38,32,000",Civil Works,NA ,Tender,90.0,180.0,Ward No. 24 Bhagwantpura ke Toriya mohalla mai Sri,284003.0,NA ,NA ,NA ,SE RED Circle Jhansi,No ,No,"77,000",Yes,fixed,,Nil,Nil,AOC,Rajneesh Kumar,Internal,SE Jhansi EE Jhansi EE Jalaun DAO Jhansi,RAJNEESH KUMAR,01-Jul-2026 04:32 PM,08-Jul-2026 12:30 PM,techsummary_2165516.pdf (346.89 KB),Finance,FINAL,RAJNEESH KUMAR,31-Jul-2026 12:14 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,31-Jul-2026 12:20 PM,finsummary_2165516.pdf (492.20 KB),Technical,final,RAJNEESH KUMAR,01-Jul-2026 04:30 PM,,1.0,6163029.0,M/S ARYAN ASSOCIATE,INR,"3,823,443.16",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1155905_4,33/SE/RED/Tender/Jhansi/26-27 Date 13-04-2026,Ward No. 24 Bhagwantpura ke Toriya mohalla mai Sri Pooran pal ke makan se Mewa lal ke makan ki or apex road abam nali nirman,1,6163029,M/S ARYAN ASSOCIATE,04-Jun-2026 11:36 AM,Accepted-AOC,Y,31-Jul-2026 12:30 PM,31-Jul-2026,"INR 3,823,443.16",180.0,RAJNEESH KUMAR,31-Jul-2026 12:30 PM,wardno24bhagwantpura.pdf (492.00 KB),final,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6163049,M/S RAMNATH,03-Jun-2026 05:38 PM,Rejected-Finance,N,31-Jul-2026 12:20 PM,,,,,,,,AOC
