S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,revocation,revocation,15-Jun-2026 03:08 PM,nit05tvy.pdf ,198.35,Technical Opening,1.0,6173210.0,SHREE SAI NATH CONSTRUCTION,INR,"5,092,439.71",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,2026_REDUP_1155764_2,20/RED/Tender/File No/Bond Clerk/2026-27 Dt. 07.04.26,Deipar Bhiriya Marg par Isthit Rehrwa Chaurahe se suratgarh marg ka awashesh bhag ke cc road nirman karya,1,6173272,M/S RAM BHAWAN YADAV,06-Jun-2026 09:36 AM,Rejected-Finance,r,30-Jul-2026 07:52 PM,30-Jul-2026,"INR 5,092,439.71",180.0,MuneshKumar Lodhi,30-Jul-2026 07:55 PM,2.pdf (383.00 KB),a,Er. Munesh Kumar Lodhi,Internal,SE,MuneshKumar Lodhi,23-Jun-2026 01:15 PM,29-Jun-2026 12:00 PM,techsummary_2165203.pdf (115.87 KB),Finance,c,MuneshKumar Lodhi,29-Jun-2026 02:14 PM,,BOQ Comparative Chart,ER MUNESH KUMAR LODHI,Internal,se,MuneshKumar Lodhi,30-Jul-2026 07:52 PM,finsummary_2165203.pdf (383.21 KB),Technical,C,MuneshKumar Lodhi,23-Jun-2026 01:12 PM,,AOC,1.0,SBI Bank,30-May-2026 06:00 PM,06-Jun-2026 03:30 PM,30-May-2026 06:00 PM,06-Jun-2026 12:00 PM,30-May-2026 06:00 PM ,06-Jun-2026 12:00 PM ,30-May-2026 06:00 PM,06-Jun-2026 12:00 PM,29-Jun-2026 12:00 PM,"1,02,000",No,fixed,,Nil,Nil,Deipar Bhiriya Marg par Isthit Rehrwa Chaurahe se suratgarh marg ka awashesh bhag ke cc road nirman karya,Deipar Bhiriya Marg par Isthit Rehrwa Chaurahe se suratgarh marg ka awashesh bhag ke cc road nirman karya,AS PER SBD ,NA ,"50,97,000",Civil Works,NA ,Tender,90.0,180.0,WORKS,272001.0,NA ,NA ,NA ,O/O SE RED BASTI,No ,No,SE RED BASTI,O/O SE RED BASTI,"2,714",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,20/RED/Tender/File No/Bond Clerk/2026-27 Dt. 07.04.26,2026_REDUP_1155764_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,6173210,SHREE SAI NATH CONSTRUCTION,06-Jun-2026 12:14 AM,Accepted-AOC,a,30-Jul-2026 07:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance,,,,,,,,,,,,,,,AOC
