Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE SANT KABIR NAGAR,2026_REDUP_1149853_7,70/RED/NIVIDA/26-27 dt 15.04.2026,Ucch Prathmik Vidyalaya Chapra Purvi ka kayakalp karya,1.0,6136478.0,R D CONSTRUCTION,INR,"1,419,729.52",1,6137227,M/S OM CONSTRUCTION,23-May-2026 12:19 PM,Rejected-Technical,Non Responsive,04-Jun-2026 03:59 PM,18-Jul-2026,"INR 1,419,729.52",90.0,Arvind Kumar,18-Jul-2026 02:09 PM,07.pdf (619.00 KB),Executive Engineer,Internal,,Arvind Kumar,16-Jul-2026 04:16 PM,finsummary_2153042.pdf (1483.10 KB),Technical,Admitted,Arvind Kumar,23-May-2026 03:20 PM,,Executive Engineer,Internal,,Arvind Kumar,04-Jun-2026 03:59 PM,09-Jun-2026 12:00 PM,techsummary_2153042.pdf (1483.10 KB),Finance,Admitted,Arvind Kumar,09-Jun-2026 04:24 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Notice,18-May-2026 01:00 PM,23-May-2026 02:00 PM,18-May-2026 01:00 PM,23-May-2026 01:00 PM,NA ,NA ,18-May-2026 01:00 PM,23-May-2026 01:00 PM,09-Jun-2026 12:00 PM,1.0,SBI Bank,"71,000",Yes,fixed,,Nil,Nil,Ucch Prathmik Vidyalaya Chapra Purvi ka kayakalp karya,Ucch Prathmik Vidyalaya Chapra Purvi ka kayakalp karya,Please refer Tender documents. ,NA ,"14,10,000",Civil Works,NA ,Tender,90.0,90.0,SANT KABIR NAGAR,272175.0,NA ,NA ,NA ,RED OFFICE SKN,No ,No,EE RED SKN,RED OFFICE SKN,944.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE SANT KABIR NAGAR,70/RED/NIVIDA/26-27 dt 15.04.2026,2026_REDUP_1149853_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,6135483,M/S SANTOSH KUMAR CHAUDHARY,22-May-2026 11:33 AM,Rejected-Finance,Reject,16-Jul-2026 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6136478,R D CONSTRUCTION,22-May-2026 06:26 PM,Accepted-AOC,Below,18-Jul-2026 02:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
