Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Vivek Priya EE RED Gorakhpur, Er Surya Prakash EE RED Deoria, Mr Kanhaiya Lal DAO RED Deoria",Dileep Shukla,05-Jun-2026 09:04 AM,09-Jun-2026 11:00 AM,techsummary_2153067.pdf (138.47 KB),Technical,Summary,Dileep Shukla,01-Jun-2026 04:01 PM,,04-Jul-2026,"INR 7,131,427.03",270.0,Dileep Shukla,04-Jul-2026 08:55 AM,19_19.pdf (149.00 KB),1,6145505,M/S MAA PITAMBARA CONSTRUCTION,28-May-2026 05:55 PM,Accepted-AOC,AOC,04-Jul-2026 08:55 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1149857_19,19/SE RED Gorakhpur/Deoria/26-27 Dt 20/04/2026,"Under District Deoria, Construction of road from village Pokharbhinda pitch road of Khand Bhaluani to Hansnath Dubey house, Lot No 19",1.0,6145505.0,M/S MAA PITAMBARA CONSTRUCTION,INR,"7,131,427.03",Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,03-Jul-2026 01:40 PM,finsummary_2153067.pdf (149.42 KB),Finance,Summary,Dileep Shukla,09-Jun-2026 02:42 PM,,BOQ Comparative Chart,AOC,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur","Under District Deoria, Construction of road from village Pokharbhinda pitch road of Khand Bhaluani to Hansnath Dubey house, Lot No 19","Under District Deoria, Construction of road from village Pokharbhinda pitch road of Khand Bhaluani to Hansnath Dubey house, Lot No 19",Please refer Tender documents. ,NA ,"60,47,000",Civil Works,NA ,Tender,90.0,NA ,Deoria,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur  ",20-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,1.0,SBI Bank,"1,20,940",No,percentage,2.0%,Nil,Nil,18-May-2026 01:00 PM,01-Jun-2026 12:30 PM,18-May-2026 01:00 PM,30-May-2026 12:00 PM,NA ,NA ,18-May-2026 01:00 PM,30-May-2026 12:00 PM,09-Jun-2026 11:00 AM,"2,714",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,19/SE RED Gorakhpur/Deoria/26-27 Dt 20/04/2026,2026_REDUP_1149857_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,2,6145599,M/S PANKJA CONSTRUCTION,28-May-2026 06:20 PM,Rejected-Finance,Rejected,03-Jul-2026 01:40 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,AOC
