Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage
EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,01-Jun-2026 04:56 PM,01-Jun-2026 06:00 PM,techsummary_2153472.pdf (942.12 KB),Technical,Bid Opening Summary,Praveen Kumar,30-May-2026 09:07 AM,,18-Jul-2026,INR 100,90.0,GIRISH KUMAR,18-Jul-2026 10:40 AM,13.pdf (76.00 KB),1,6142691,M/S A P S CONSTRUCTION COMPANY,26-May-2026 08:01 PM,Rejected-Finance,L2,17-Jul-2026 04:42 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1150065_13,2742/EE TENDER/KUSHINAGAR,Gram Sabha Lehni-2 mein Ramashray Singh ke ghar se Bachau Singh ke ghar hote hue Gyani Sharma ke ghar ki taraf interlocking road ka nirman karya.,1.0,6142103.0,M/S NEW KHUSHI SOLAR SHOP,INR,100.0,EE RED KUSHINAGAR,Internal,,GIRISH KUMAR,17-Jul-2026 04:42 PM,finsummary_2153472.pdf (76.43 KB),Finance,Bid Opening Summary,Praveen Kumar,05-Jun-2026 01:53 PM,,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2742/EE TENDER/KUSHINAGAR,2026_REDUP_1150065_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Gram Sabha Lehni-2 mein Ramashray Singh ke ghar se Bachau Singh ke ghar hote hue Gyani Sharma ke ghar ki taraf interlocking road ka nirman karya.,Gram Sabha Lehni-2 mein Ramashray Singh ke ghar se Bachau Singh ke ghar hote hue Gyani Sharma ke ghar ki taraf interlocking road ka nirman karya.,Please refer Tender documents. ,NA ,"30,84,000",Civil Works,NA ,Tender,90.0,90.0,WORK,274403.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,"2,336",Nil,Nil,No,"62,000",No,fixed,,Nil,Nil,22-May-2026 09:00 AM,29-May-2026 03:00 PM,22-May-2026 09:00 AM,29-May-2026 12:00 PM,NA ,NA ,22-May-2026 09:00 AM,29-May-2026 12:00 PM,01-Jun-2026 06:00 PM,EE RED KUSHINAGAR,EE RED KUSHINAGAR,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,2,6142103,M/S NEW KHUSHI SOLAR SHOP,26-May-2026 09:11 PM,Accepted-AOC,L1,18-Jul-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
