Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,563/RED KUSHINAGAR,2026_REDUP_1165263_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Gramsabha Jagdishpur Bahurahwa Tola mein Ramadhar ke ghar se Vikau ke ghar ki taraf C.C. Road ka nirmaan karya,Gramsabha Jagdishpur Bahurahwa Tola mein Ramadhar ke ghar se Vikau ke ghar ki taraf C.C. Road ka nirmaan karya,Please refer Tender documents. ,NA ,"10,89,000",Civil Works,NA ,Tender,90.0,NA ,WORK,274403.0,NA ,NA ,NA ,EE KUSHINAGAR,No ,No,EE KUSHINAGAR,EE KUSHINAGAR,752.0,Nil,Nil,No,1.0,SBI Bank,02-Jul-2026 09:00 AM,07-Jul-2026 03:00 PM,02-Jul-2026 09:00 AM,07-Jul-2026 12:00 PM,NA ,NA ,02-Jul-2026 09:00 AM,07-Jul-2026 12:00 PM,17-Jul-2026 03:00 PM,"22,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Cover Type Description,AOC,1,6232730,M/S A P S CONSTRUCTION COMPANY,05-Jul-2026 01:26 PM,Rejected-Finance,L2,17-Jul-2026 07:13 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1165263_15,563/RED KUSHINAGAR,Gramsabha Jagdishpur Bahurahwa Tola mein Ramadhar ke ghar se Vikau ke ghar ki taraf C.C. Road ka nirmaan karya,1.0,6232689.0,M/S NEW KHUSHI SOLAR SHOP,INR,"1,088,521.11",EE RED KUSHINAGAR,Internal,,GIRISH KUMAR,17-Jul-2026 07:13 PM,finsummary_2185676.pdf (55.65 KB),Finance,Bid Opening Summary,Praveen Kumar,17-Jul-2026 04:28 PM,,BOQ Comparative Chart,Technical,Bid Opening Summary,GIRISH KUMAR,16-Jul-2026 10:32 AM,,17-Jul-2026,"INR 1,088,521.11",90.0,GIRISH KUMAR,17-Jul-2026 08:14 PM,15A.pdf (56.00 KB),EE RED KUSHINAGAR,Internal,,GIRISH KUMAR,17-Jul-2026 12:10 PM,17-Jul-2026 03:00 PM,techsummary_2185676.pdf (155.97 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,AOC,2,6232689,M/S NEW KHUSHI SOLAR SHOP,05-Jul-2026 03:13 PM,Accepted-AOC,L1,17-Jul-2026 08:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
