Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE RED GONDA,Internal,SRI J B SINGH EE SRI SIDDHARTHA VIKRAM SINGH A E SRI L K CHAKRAVARTI D A O,Jay Bahadur Singh,30-May-2026 10:22 AM,30-May-2026 11:00 AM,techsummary_2154084.pdf (476.06 KB),Technical,Summary,Siddhartha Vikram Singh,29-May-2026 02:06 PM,,25-Jul-2026,"INR 370,832.44",120.0,Jay Bahadur Singh,25-Jul-2026 10:33 AM,15Tarabganj.pdf (270.00 KB),bond,1,6135808,OM CONSTRUCTION,22-May-2026 05:30 PM,Rejected-Finance,L2,25-Jul-2026 10:30 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,2026_REDUP_1150307_15,375/EE/RED/ENIV/NIR/26-27 Dt 24-04-2026,Vikas Khand Wazirganj ke Katha Mahapurva Baba Vishveshswarnath Mandir Par 01 Adad 12.5 Mtr Pole Pr Highmast Light ke Sthapana Karya,1.0,6133787.0,Vishnu Pratap Singh,INR,"370,832.44",EE RED GONDA,Internal,SRI J B SINGH EE SRI SIDDHARTHA VIKRAM SINGH A E SRI L K CHAKRAVARTI D A O,Jay Bahadur Singh,25-Jul-2026 10:30 AM,finsummary_2154084.pdf (270.24 KB),Finance,Summary,Jay Bahadur Singh,24-Jul-2026 12:15 PM,,BOQ Comparative Chart,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,375/EE/RED/ENIV/NIR/26-27 Dt 24-04-2026,2026_REDUP_1150307_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Vikas Khand Wazirganj ke Katha Mahapurva Baba Vishveshswarnath Mandir Par 01 Adad 12.5 Mtr Pole Pr Highmast Light ke Sthapana Karya,Vikas Khand Wazirganj ke Katha Mahapurva Baba Vishveshswarnath Mandir Par 01 Adad 12.5 Mtr Pole Pr Highmast Light ke Sthapana Karya,Vikas Khand Wazirganj ke Katha Mahapurva Baba Vishveshswarnath Mandir Par 01 Adad 12.5 Mtr Pole Pr Highmast Light ke Sthapana Karya ,NA ,"3,70,944",Civil Works,NA ,Tender,90.0,120.0,EE RED Gonda,271001.0,NA ,NA ,NA ,EE RED Gonda,No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,NIT with T1,"7,419",Yes,percentage,2.0%,Nil,Nil,EE RED GONDA,EE RED GONDA Vikas Bhawan Distt Gonda,950.0,Nil,Nil,No,19-May-2026 09:00 AM,25-May-2026 12:30 PM,19-May-2026 09:00 AM,25-May-2026 12:00 PM,NA ,NA ,19-May-2026 09:00 AM,25-May-2026 12:00 PM,30-May-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,2,6133787,Vishnu Pratap Singh,21-May-2026 07:13 PM,Accepted-AOC,L1,25-Jul-2026 10:33 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Work BOQ,,,,,,,,,,,,,,,,,,,,,,AOC
