Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
20-Jun-2026,"INR 732,612.62",90.0,Arvind Kumar,08-Jul-2026 12:51 PM,03.pdf (878.00 KB),1,6135732,KD CONSTRUCTION,22-May-2026 10:17 PM,Rejected-Finance,Reject,12-Jun-2026 01:38 PM,1.0,6136584.0,M/S R G CONSTRUCTION,INR,"732,612.62",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE SANT KABIR NAGAR,2026_REDUP_1149853_3,70/RED/NIVIDA/26-27 dt 15.04.2026,"Gram Panchayat Rosaya Bazar mein Ucch Prathmik Vidyalaya ka marammat, tiles evam rangai putai karya",Technical,Admitted,Arvind Kumar,23-May-2026 02:41 PM,,Executive Engineer,Internal,,Arvind Kumar,12-Jun-2026 01:38 PM,finsummary_2153010.pdf (1494.08 KB),Finance,Admitted,Arvind Kumar,09-Jun-2026 04:17 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Arvind Kumar,04-Jun-2026 03:48 PM,09-Jun-2026 12:00 PM,techsummary_2153010.pdf (1494.08 KB),AOC,"37,000",Yes,fixed,,Nil,Nil,"Gram Panchayat Rosaya Bazar mein Ucch Prathmik Vidyalaya ka marammat, tiles evam rangai putai karya","Gram Panchayat Rosaya Bazar mein Ucch Prathmik Vidyalaya ka marammat, tiles evam rangai putai karya",Please refer Tender documents. ,NA ,"7,41,000",Civil Works,NA ,Tender,90.0,90.0,SANT KABIR NAGAR,272175.0,NA ,NA ,NA ,RED OFFICE SKN,No ,No,18-May-2026 01:00 PM,23-May-2026 02:00 PM,18-May-2026 01:00 PM,23-May-2026 01:00 PM,NA ,NA ,18-May-2026 01:00 PM,23-May-2026 01:00 PM,09-Jun-2026 12:00 PM,EE RED SKN,RED OFFICE SKN,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE SANT KABIR NAGAR,70/RED/NIVIDA/26-27 dt 15.04.2026,2026_REDUP_1149853_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Notice,944.0,Nil,Nil,No,AOC
,,,,,,2,6136584,M/S R G CONSTRUCTION,22-May-2026 08:08 PM,Accepted-AOC,below,08-Jul-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC
