Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
22-Jun-2026,"INR 24,503,731.17",210.0,Lavkush Singh,17-Jul-2026 03:34 PM,AOC08.pdf (764.00 KB),AOC,1.0,6099254.0,ARVIND KUMAR SINGH,INR,"24,503,731.17","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",2026_UPIDC_1145685_8,01/SE-XII/2026-27.,AS PER TENDER NOTICE LOT 8,1,6099506,ARUN CONSTRUCTION,10-May-2026 11:21 AM,Rejected-Finance,4TH LOWEST,09-Jun-2026 09:48 PM,Technical,Technical cover opened,Lavkush Singh,11-May-2026 06:53 PM,,"LAVKUSH SINGH, SE XII CIRCLE",Internal,BP SINGH SE VII CIRCLE IW LKO,Lavkush Singh,09-Jun-2026 09:48 PM,finsummary_2141907.pdf (347.32 KB),Finance,FINANCIAL OPENED,Lavkush Singh,09-Jun-2026 09:02 PM,,BOQ Comparative Chart,"LAVKUSH SINGH, SE XII CIRCLE",Internal,"BP SINGH, SE VII CIRCLE",Lavkush Singh,29-May-2026 04:54 PM,01-Jun-2026 05:00 PM,techsummary_2141907.pdf (1339.52 KB),AOC,1.0,SBI Bank,AS PER TENDER NOTICE LOT 8,AS PER TENDER NOTICE LOT 8,Please refer Tender documents. ,NA ,"3,48,01,000",Civil Works,NA ,Tender,90.0,210.0,SITAPUR,261001.0,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW ,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW ,08-May-2026 02:00 PM ,LUCKNOW,No ,No,"6,97,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,PRE QUALIFICATION DOCUMENTS,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow",01/SE-XII/2026-27.,2026_UPIDC_1145685_8,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,06-May-2026 09:00 AM,11-May-2026 03:30 PM,06-May-2026 10:00 AM,11-May-2026 03:00 PM,NA ,NA ,06-May-2026 10:00 AM,11-May-2026 03:00 PM,01-Jun-2026 05:00 PM,SE XII CIRCLE IRRIGATION WORKS LUCKNOW,GANGA SINCHAI BHAWAN TELIBAGH LUCKNOW,"6,467",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,6099254,ARVIND KUMAR SINGH,11-May-2026 11:33 AM,Accepted-AOC,1st lowest,17-Jul-2026 03:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6096282,AYUSH CONTRACTOR,11-May-2026 12:21 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6102722,MEGHENDRA PAL SINGH CONTRECTOR,11-May-2026 02:40 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6106262,Mohammad Abdulla,11-May-2026 02:12 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6106153,M P Traders,11-May-2026 02:32 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,6106337,M/S ALLIANCE CONSTRUCTIONS,11-May-2026 02:18 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,6105517,M/S CONSTRUCTION NETWORK INDIA,11-May-2026 12:15 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,6101480,M/S Ravindra Pratap Singh,11-May-2026 01:05 PM,Rejected-Finance,5TH LOWEST,09-Jun-2026 09:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,6092929,M/S SINGH CONSTRUCTION,11-May-2026 12:30 PM,Rejected-Finance,2ND LOWEST,09-Jun-2026 09:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,6105219,Ram Chandar Singh,11-May-2026 01:50 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,6103757,RAVI ASSOCIATES,11-May-2026 01:00 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,6105208,S K INFRASTRUCTURES,11-May-2026 01:50 PM,Rejected-Technical,TECHNICALLY DISQUALIFIED,29-May-2026 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,6106268,VIRAT CONSTRUCTION,11-May-2026 02:55 PM,Rejected-Finance,3RD LOWEST,09-Jun-2026 09:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
