EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"1,43,880",No,percentage,2.0%,Nil,Nil,"nder District Prayagraj, Construction of road and drain from Vinay Pandey in front of Vinay Pandey to Dharmendra Singh Ji house in Om Shantipuram Naini to the house of Sab Ka Saathi Foundation, Lot No 25","nder District Prayagraj, Construction of road and drain from Vinay Pandey in front of Vinay Pandey to Dharmendra Singh Ji house in Om Shantipuram Naini to the house of Sab Ka Saathi Foundation, Lot No 25",Please refer Tender documents. ,NA ,"71,94,000",Civil Works,NA ,Tender,90.0,NA ,Prayagraj,228001.0,SE RED Prayagraj Circle ,"SE RED Prayagraj Circle, 21 Church Lane, Alenganj, Prayagraj  ",11-May-2026 11:00 AM ,SE RED Prayagraj Circle,No ,No,10-May-2026 10:55 AM,20-May-2026 12:30 PM,10-May-2026 10:55 AM,19-May-2026 12:00 PM,NA ,NA ,10-May-2026 10:55 AM,19-May-2026 12:00 PM,19-Jun-2026 01:00 PM,SE RED Prayagraj Circle,"SE RED Prayagraj Circle, 21 Church Lane, Alenganj, Prayagraj","3,000",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE,I/910401/2026/SE RED Prayagraj/Prayagraj/26-27 Dt 06/04/2026,2026_REDUP_1147154_25,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE,2026_REDUP_1147154_25,I/910401/2026/SE RED Prayagraj/Prayagraj/26-27 Dt 06/04/2026,"nder District Prayagraj, Construction of road and drain from Vinay Pandey in front of Vinay Pandey to Dharmendra Singh Ji house in Om Shantipuram Naini to the house of Sab Ka Saathi Foundation, Lot No 25",1,6125015,M/S K D R S S AND SONS,19-May-2026 12:02 AM,Accepted-AOC,AoC,25-Jul-2026 03:27 PM,Finance,d,Satyaprakash Mishra,20-Jun-2026 04:06 PM,,BOQ Comparative Chart,Er Hemant Saxena SE RED Prayagraj,Internal,"Er Hemant Saxena SE RED Prayagraj, Er Vipul Chandra EE RED Kaushambi, Er S P Mishra EE RED Prayagraj, Mr R P Ram DAO Prayagraj",Hemant Sexena,30-Jun-2026 03:19 PM,finsummary_2145747.pdf (180.01 KB),1.0,6125015.0,M/S K D R S S AND SONS,INR,"7,178,643",Technical,d,Satyaprakash Mishra,23-May-2026 11:33 AM,,25-Jul-2026,"INR 7,178,643",90.0,Hemant Sexena,25-Jul-2026 03:27 PM,910401_25.pdf (428.00 KB),Er Hemant Saxena SE RED Prayagraj,Internal,"Er Hemant Saxena SE RED Prayagraj, Er Vipul Chandra EE RED Kaushambi, Er S P Mishra EE RED Prayagraj, Mr R P Ram DAO Prayagraj",Hemant Sexena,15-Jun-2026 07:12 PM,19-Jun-2026 01:00 PM,techsummary_2145747.pdf (291.02 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,AOC,,,,,2,6121709,M/S SADGURU CONSTRUCTION SUPPLIERS,19-May-2026 01:32 AM,Rejected-Finance,Rejected,30-Jun-2026 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
