Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"2,714",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Document,Telephone Exchange Lalkurti se buchri road hote hue maal road royal hotel tak Dence dwara sadak nirman karya,Telephone Exchange Lalkurti se buchri road hote hue maal road royal hotel tak Dence dwara sadak nirman karya,Please refer Tender documents. ,NA ,"81,70,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Meerut,250001.0,SE RED MEERUT CIRCLE MEERUT ,Apar Ayukt Udhyog Campus Sooraj Kund Road Meerut ,15-May-2026 12:00 PM ,SE RED MEERUT CIRCLE MEERUT,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,17/SE/Tavrit/26-27/Dt-04-04-26,2026_REDUP_1148084_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"1,63,000",No,fixed,,Nil,Nil,SE RED MEERUT CIRCLE MEERUT,Apar Ayukt Udhyog Campus Sooraj Kund Road Meerut,14-May-2026 10:00 AM,21-May-2026 12:30 PM,14-May-2026 10:00 AM,20-May-2026 04:00 PM,NA ,NA ,14-May-2026 10:00 AM,20-May-2026 04:00 PM,08-Jun-2026 12:30 PM,AOC,Finance,FINANCIAL BID OPEN,SHUBHAM PARLE,27-Jul-2026 04:15 PM,,BOQ Comparative Chart,SE RED MEERUT CIRCLE MEERUT,Internal,01-EE RED MEERUT DIVISION 02-EE RED HAPUR DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,02-Jun-2026 03:49 PM,08-Jun-2026 12:30 PM,techsummary_2148702.pdf (422.70 KB),Technical,tech bid open,UDAY SHANKAR,21-May-2026 02:12 PM,technical_2148702.pdf,EE RED MEERUT DIVISION,Internal,,SHUBHAM PARLE,27-Jul-2026 04:19 PM,finsummary_2148702.pdf (827.80 KB),27-Jul-2026,"INR 9,623,206.92",180.0,SHUBHAM PARLE,27-Jul-2026 04:26 PM,TELEPHONEEX.pdf (828.00 KB),GALAXY DEVELOPERS,1.0,6121047.0,GALAXY DEVELOPERS,16-May-2026 07:47 PM,Accepted-AOC,L1 BIDDER,27-Jul-2026 04:26 PM,1.0,6121047.0,GALAXY DEVELOPERS,INR,"9,623,206.92",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1148084_4,17/SE/Tavrit/26-27/Dt-04-04-26,Telephone Exchange Lalkurti se buchri road hote hue maal road royal hotel tak Dence dwara sadak nirman karya,AOC
,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6127630.0,jitendra kumar contractor and suppliers,19-May-2026 01:02 PM,Rejected-Finance,HIGH RATE,27-Jul-2026 04:19 PM,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
