Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage
19-Jun-2026,"INR 1,485,973",120.0,Vishnoo Kumar,08-Jul-2026 12:53 PM,vikas.pdf (401.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GHAZIABAD,2026_REDUP_1149277_3,NIT - 32 dt 02.04.2026 Tender 02,Construction work of Interlocking tiles in the public complex in front of Vikas Bhawan.,1.0,6127651.0,M/S MEGHA CONSTRUCTION,INR,"1,485,973",1,6125981,M/S AMAZING CONSTRUCTIONS,21-May-2026 08:58 PM,Rejected-Finance,L2,15-Jun-2026 03:32 PM,Finance,Summary,VINOD KUMAR,15-Jun-2026 03:29 PM,finance_2151589.pdf,BOQ Comparative Chart,EE RED GZB,Internal,,VINOD KUMAR,11-Jun-2026 04:16 PM,15-Jun-2026 12:30 PM,techsummary_2151589.pdf (328.12 KB),Technical,Summary,VINOD KUMAR,11-Jun-2026 04:14 PM,technical_2151589.pdf,EE RED GZB,Internal,,VINOD KUMAR,15-Jun-2026 03:32 PM,finsummary_2151589.pdf (22.19 KB),AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GHAZIABAD,NIT - 32 dt 02.04.2026 Tender 02,2026_REDUP_1149277_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date extend,Date,,Construction work of Interlocking tiles in the public complex in front of Vikas Bhawan.,Construction work of Interlocking tiles in the public complex in front of Vikas Bhawan.,Please refer Tender documents. ,NA ,"15,00,000",Civil Works,NA ,Tender,90.0,120.0,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad,No ,No,16-May-2026 03:00 PM,23-May-2026 12:30 PM,16-May-2026 03:00 PM,22-May-2026 12:00 PM,NA ,NA ,16-May-2026 03:00 PM,22-May-2026 12:00 PM,15-Jun-2026 12:30 PM,EE,RED GZB,1,Fee/PreQual/Technical,.pdf,SBD,"30,000",No,fixed,,Nil,Nil,854.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,2,6127651,M/S MEGHA CONSTRUCTION,21-May-2026 08:52 PM,Accepted-AOC,L1,08-Jul-2026 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,AOC
