Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage
09-Jul-2026,"INR 1,913,992.7",90.0,DEEPAK SINGH,20-Jul-2026 12:27 PM,BLANKPDF.pdf (136.00 KB),1,6152420,M/s Mahabali Construction & Supliars,29-May-2026 06:46 PM,Rejected-Finance,L2,04-Jul-2026 12:29 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE RAEBARELI,2026_REDUP_1147726_9,360/EE/RED/RBLDT29.04.2026,LOT NO 09 DALMAU MAI BHAGWANPUR CHATAMBA SAMPARK MARG SE NARENDPUR PAKKI SADAK TAK DAMARIKARAN KARYA,1.0,6148322.0,shiv enterprises,INR,"1,913,992.7",Technical,TECHNICAL,Neelabh Krishna,15-Jun-2026 01:19 PM,,EERED RBL,Internal,,DEEPAK SINGH,04-Jul-2026 12:29 PM,finsummary_2147712.pdf (100.94 KB),Finance,FINANCIAL,DEEPAK SINGH,30-Jun-2026 02:48 PM,,BOQ Comparative Chart,EERED RBL,Internal,,Neelabh Krishna,24-Jun-2026 05:35 PM,30-Jun-2026 12:30 PM,techsummary_2147712.pdf (327.54 KB),AOC,250.0,Nil,Nil,No,18-May-2026 03:00 PM,30-May-2026 12:30 PM,18-May-2026 03:00 PM,30-May-2026 12:00 PM,NA ,NA ,18-May-2026 03:00 PM,30-May-2026 12:00 PM,30-Jun-2026 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,SBDNIT,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE RAEBARELI,360/EE/RED/RBLDT29.04.2026,2026_REDUP_1147726_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,LOT NO 09 DALMAU MAI BHAGWANPUR CHATAMBA SAMPARK MARG SE NARENDPUR PAKKI SADAK TAK DAMARIKARAN KARYA,LOT NO 09 DALMAU MAI BHAGWANPUR CHATAMBA SAMPARK MARG SE NARENDPUR PAKKI SADAK TAK DAMARIKARAN KARYA LOT NO 09 VIKAS KHAND DALMAU MAI RAM ASRE KE GHAR SE NARENDARPUR TAK DAMIRIKARAN KARYA,Please refer Tender documents. ,NA ,"22,61,000",Civil Works,NA ,Tender,90.0,90.0,DALMAU,229001.0,NA ,NA ,NA ,EERED RBL,No ,No,EERED RBL,SONIA NAGAR RAEBARELI,1.0,CORRIGENDUM,Other,,"45,220",Yes,fixed,,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,2,6153791,M/s Mahadev Associates,30-May-2026 11:53 AM,Rejected-Technical,TECHNICALLY DISQUALIFIED,24-Jun-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,6148322,shiv enterprises,28-May-2026 01:29 PM,Accepted-AOC,L1,20-Jul-2026 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
