Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
07-Jul-2026 02:00 PM,17-Jul-2026 11:00 AM,07-Jul-2026 02:00 PM,16-Jul-2026 02:00 PM,07-Jul-2026 02:00 PM ,13-Jul-2026 02:00 PM ,07-Jul-2026 02:00 PM,16-Jul-2026 02:00 PM,22-Jul-2026 03:00 PM,EXECUTIVE ENGINEER MLCD KANPUR,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,09/EE/MLCD/KNP/Koda/2026-27,2026_UPIDM_1167272_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,354.0,Nil,Nil,No,1,BIS /Mfg lic /Dealership ,Manufacturing license / registration certificate -for Manufacturer ,Manufacturing license / registration certificate -for Manufacturer ,,1.0,Fee/PreQual/Technical,.pdf,nit,Fabrication of MS amendment plate,Fabrication of MS amendment plate,as per tender document ,NA ,"16,84,909",Metal Fabrication,CANAL ,Tender,90.0,30.0,"KODA PUMP CANAL,FATEHPUR",212659.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,No ,No,1.0,SBI Bank,"29,000",Yes,fixed,,Nil,Nil,AOC,GYANENDRA MANI TRIPATHI,Internal,"EXECUTIVE ENGINEER MLCD KANPUR,EXECUTIVE ENGINEER TCD KANPUR,DIVISIONAL ACCOUNTANTMLCD KANPUR.",GYANENDRA MANI TRIPATHI,23-Jul-2026 04:22 PM,finsummary_2189278.pdf (445.22 KB),Technical,technical bid opened,GYANENDRA MANI TRIPATHI,22-Jul-2026 11:34 AM,technical_2189278.pdf,GYANENDRA MANI TRIPATHI,Internal,"EXECUTIVE ENGINEER MLCD KANPUR,EXECUTIVE TUBEWELL CONSTRUCTION DIVISION KANPUR,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,22-Jul-2026 11:49 AM,22-Jul-2026 03:00 PM,techsummary_2189278.pdf (445.22 KB),Finance,financial bid opened,GYANENDRA MANI TRIPATHI,23-Jul-2026 03:00 PM,finance_2189278.pdf,BOQ Comparative Chart,1.0,6255131.0,M/s Jai Contraction,15-Jul-2026 11:16 AM,Rejected-Finance,HIGHER RATE QUOTED,23-Jul-2026 04:22 PM,1.0,6256151.0,swastik traders,INR,"1,531,583",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,2026_UPIDM_1167272_1,09/EE/MLCD/KNP/Koda/2026-27,Fabrication of MS amendment plate,29-Jul-2026,"INR 1,531,583",30.0,GYANENDRA MANI TRIPATHI,24-Jul-2026 11:41 AM,aockoda9.pdf (250.00 KB),FINANCIAL OPENED,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BIS /Mfg lic /Dealership ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,Dealership certificate of manufacturer for the items Where Dealers are eligible to Bid ,,2.0,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6254178.0,Singh Contractor,14-Jul-2026 09:05 PM,Rejected-Finance,HIGHER RATE QUOTED,23-Jul-2026 04:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6256151.0,swastik traders,15-Jul-2026 05:05 PM,Accepted-AOC,LOWEST,24-Jul-2026 11:41 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Experience/ mfg. capacity ,Documents on manufacturing capacity of the unit ,Documents on manufacturing capacity of the unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
