Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_45,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,1.0,SBI Bank,13-May-2026 05:00 PM,28-May-2026 04:00 PM,13-May-2026 05:00 PM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 05:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:30 PM,"1,15,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,Construction of interlocking paving from Katkiya village to Manorathpur Sahsovari in Jalalabad Development Block.,Construction of interlocking paving from Katkiya village to Manorathpur Sahsovari in Jalalabad Development Block.,Please refer Tender documents. ,NA ,"57,08,000",Civil Works - Roads,NA ,Tender,90.0,120.0,JALALABAD SHAHJAHANPUR,242221.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,14-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,AOC,1.0,6148208.0,M/S JAI MAA ENTERPRISES,INR,"6,711,846",SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILYEEREDDIVSIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,26-Jun-2026 10:10 PM,finsummary_2148770.pdf (1251.36 KB),Finance,FINANCIAL BID OPEN,RAJESH KUMAR,26-Jun-2026 10:07 PM,finance_2148770.pdf,BOQ Comparative Chart,1,6148208,M/S JAI MAA ENTERPRISES,28-May-2026 11:01 AM,Accepted-AOC,DUE TO L1,27-Jul-2026 06:33 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_45,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,Construction of interlocking paving from Katkiya village to Manorathpur Sahsovari in Jalalabad Development Block.,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,10-Jun-2026 02:58 PM,16-Jun-2026 12:30 PM,techsummary_2148770.pdf (753.16 KB),27-Jul-2026,"INR 6,711,846",120.0,RAJESH KUMAR,27-Jul-2026 06:33 PM,45sh.pdf (295.00 KB),AOC OF THE WORK - Construction of interlocking paving from Katkiya village to Manorathpur Sahsovari in Jalalabad Development Block.,Technical,bid open,RAJESH KUMAR,10-Jun-2026 02:54 PM,technical_2148770.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6147870,Rakesh Kumar Pathak,28-May-2026 09:27 AM,Rejected-Finance,DUE TO HIGHER RATE,26-Jun-2026 10:10 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
