Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Chief Engineer World Bank (EAP) PWD HQ-Jhansi||SE PMGSY CIRCLE PWD KANPUR||EE CD-1 P.P. PWD KANPUR NAGAR,427/5A Dt. 06.05.2026,2026_WBEAP_1149614_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-May-2026 09:00 AM,03-Jun-2026 12:30 PM,18-May-2026 09:00 AM,03-Jun-2026 12:00 PM,NA ,NA ,18-May-2026 09:00 AM,03-Jun-2026 12:00 PM,11-Jun-2026 05:10 PM,1.0,Fee/PreQual/Technical,.pdf,Prahari E1 Sheet,Construction of Interlocking and Drain work Sudarshan Nagar 96-1 Malin Basti in front of Chunniganj Ghante wale Mandir,Construction of Interlocking and Drain work Sudarshan Nagar 96-1 Malin Basti in front of Chunniganj Ghante wale Mandir,Please refer tender documents ,NA ,"27,93,000",Civil Works - Roads,NA ,Tender,90.0,120.0,Kanpur Nagar,209301.0,EE CD1 PP PWD Kanpur Nagar ,EE CD1 PP PWD Kanpur Nagar ,23-May-2026 12:00 PM ,EE CD1 PP PWD Kanpur Nagar,No ,No,EE CD1 PP PWD Kanpur Nagar,EE CD1 PP PWD Kanpur Nagar,944.0,Nil,Nil,Yes,"2,80,000",Yes,fixed,,Nil,Nil,1.0,Revised Date,Date,,1.0,SBI Bank,AOC,Finance,Bid opening summary,NEELAM DEVI,11-Jun-2026 05:15 PM,,BOQ Comparative Chart,Arvind Kumar SE PMGSY Circle PWD Kanpur,Internal,ArvindKumarSEPMGSYCirclePWDKanpurNeelamDeviExecutiveEngineerCD1PPPWDKanpurNagarRakeshYadavExecutiveEngineerCDBPWDKanpurNagar,NEELAM DEVI,11-Jun-2026 05:09 PM,11-Jun-2026 05:10 PM,techsummary_2152194.pdf (540.63 KB),Technical,Technical Opening,Rakesh Yadav,11-Jun-2026 04:32 PM,technical_2152194.pdf,Arvind Kumar SE PMGSY Circle PWD Kanpur,Internal,ArvindKumarSEPMGSYCirclePWDKanpurNeelamDeviExecutiveEngineerCD1PPPWDKanpurNagarRakeshYadavExecutiveEngineerCDBPWDKanpurNagar,NEELAM DEVI,11-Jun-2026 05:18 PM,finsummary_2152194.pdf (540.63 KB),13-Jul-2026,"INR 2,559,812.05",120.0,NEELAM DEVI,24-Jul-2026 02:11 PM,Surya.pdf (268.00 KB),AOC,1,6162351,M/S Falaq Enterprises,02-Jun-2026 04:40 PM,Rejected-Finance,High Rate,11-Jun-2026 05:18 PM,1.0,6140174.0,M/s. Surya Construction Co.,INR,"2,559,812.05",Chief Engineer World Bank (EAP) PWD HQ-Jhansi||SE PMGSY CIRCLE PWD KANPUR||EE CD-1 P.P. PWD KANPUR NAGAR,2026_WBEAP_1149614_1,427/5A Dt. 06.05.2026,Construction of Interlocking and Drain work Sudarshan Nagar 96-1 Malin Basti in front of Chunniganj Ghante wale Mandir,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Documents BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6162724,M/S Sardar Singh and Company,02-Jun-2026 04:58 PM,Rejected-Finance,High Rate,11-Jun-2026 05:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6140174,M/s. Surya Construction Co.,03-Jun-2026 11:21 AM,Accepted-AOC,Low Rate,24-Jul-2026 02:11 PM,,,,,,,,,,AOC
