Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,135/NIVIDA AGRA/2026-27 dt 22.5.2026,2026_REDUP_1155187_22,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,SBD,S.E.RED OFFICE AGRA,S.E.RED OFFICE AGRA,8 Mahur Nagar bodla mein Kishan ki dukaan se Shivam ke ghar Tak AVN Sandhya mahor wali Gali,8 Mahur Nagar bodla mein Kishan ki dukaan se Shivam ke ghar Tak AVN Sandhya mahor wali Gali,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,AGRA,282002.0,NA ,NA ,NA ,S.E.RED OFFICE AGRA,No ,No,01-Jun-2026 10:00 AM,08-Jun-2026 02:30 PM,01-Jun-2026 10:00 AM,08-Jun-2026 12:00 PM,NA ,NA ,01-Jun-2026 10:00 AM,08-Jun-2026 12:00 PM,15-Jun-2026 09:00 AM,"83,000",Yes,fixed,,Nil,Nil,"2,354",Nil,Nil,No,1.0,SBI Bank,AOC,1.0,6171131.0,TANYA CONSTRUCTION,INR,"4,135,131.3",Finance,ALL BID ADMITTED,Dinesh Singh,16-Jun-2026 06:41 PM,,BOQ Comparative Chart,SE RED,Internal,,Dinesh Singh,14-Jul-2026 10:53 PM,finsummary_2164295.pdf (181.55 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,2026_REDUP_1155187_22,135/NIVIDA AGRA/2026-27 dt 22.5.2026,8 Mahur Nagar bodla mein Kishan ki dukaan se Shivam ke ghar Tak AVN Sandhya mahor wali Gali,1,6165834,M/S SAI ENTERPRISES,05-Jun-2026 10:54 AM,Rejected-Finance,L2,14-Jul-2026 10:53 PM,SE RED,Internal,,Dinesh Singh,13-Jun-2026 10:53 PM,15-Jun-2026 09:00 AM,techsummary_2164295.pdf (97.40 KB),22-Jul-2026,"INR 4,135,131.3",120.0,Dinesh Singh,25-Jul-2026 11:29 AM,AOC.pdf (182.00 KB),AOC,Technical,TECHNICAL,Dinesh Singh,11-Jun-2026 05:28 PM,,AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6171131,TANYA CONSTRUCTION,05-Jun-2026 06:50 PM,Accepted-AOC,AOC,25-Jul-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
