Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
06-Jul-2026,"INR 1,263,759",90.0,Chaman Srivastava,06-Jul-2026 05:41 PM,gursaraiparisarboundrywall.pdf (402.00 KB),FINAL,1,6136259,M/S MAA SHAKUNTALA CONSTRUCTION,25-May-2026 09:11 AM,Rejected-Finance,N,06-Jul-2026 05:39 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1151499_9,103/EE/RED/Tender/2026-27 Dt. 08.04.2026,Vikas Khand Gursarai main parisar ki Boundrywall ka nirman karya,1.0,6136209.0,SIDDHI CONSTRUCTION,INR,"1,263,759",Technical,FINAL,RAJNEESH KUMAR,11-Jun-2026 05:39 PM,,Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,06-Jul-2026 05:39 PM,finsummary_2157006.pdf (402.26 KB),Finance,FINAL,Chaman Srivastava,06-Jul-2026 05:36 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-Jun-2026 05:42 PM,17-Jun-2026 12:30 PM,techsummary_2157006.pdf (633.25 KB),AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,103/EE/RED/Tender/2026-27 Dt. 08.04.2026,2026_REDUP_1151499_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,sbd,21-May-2026 04:00 PM,29-May-2026 03:30 PM,21-May-2026 04:00 PM,29-May-2026 12:00 PM,NA ,NA ,21-May-2026 04:00 PM,29-May-2026 12:00 PM,17-Jun-2026 12:30 PM,EE RED Jhansi,EE RED Jhansi,1.0,SBI Bank,Vikas Khand Gursarai main parisar ki Boundrywall ka nirman karya,Vikas Khand Gursarai main parisar ki Boundrywall ka nirman karya,Please refer Tender documents. ,NA ,"12,72,000",Civil Works,NA ,Tender,90.0,90.0,Vikas Khand Gursarai main parisar ki Boundrywall k,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,"26,000",Yes,fixed,,Nil,Nil,854.0,Nil,Nil,No,AOC
,,,,,,,2,6136209,SIDDHI CONSTRUCTION,25-May-2026 09:23 AM,Accepted-AOC,Y,06-Jul-2026 05:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
