Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Er. Bharat Ram,Internal,,Bharat Ram,06-Mar-2026 03:25 PM,06-Mar-2026 04:30 PM,techsummary_2069518.pdf (558.46 KB),Technical,Attached,Bharat Ram,06-Mar-2026 01:05 PM,,18-Mar-2026,"INR 1,413,434.4",20.0,Bharat Ram,16-Jul-2026 02:34 PM,suhelwa222.pdf (155.00 KB),1.0,Revocation,Attached,06-Mar-2026 11:27 AM,Sudhhipatra.pdf ,20.77,Technical Opening,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",2026_UPIDC_1112264_26,15/EE/2025-26,Silt Clearance work of Suhelawa Drain From Km. 0.000 to 2.200 in Distt- Balrampur,1,5898830,AKANKSHA ASSOCIATES,20-Feb-2026 12:04 PM,Accepted-AOC,L1,16-Jul-2026 02:34 PM,Er. Bharat Ram,Internal,,Bharat Ram,10-Mar-2026 01:17 PM,finsummary_2069518.pdf (83.75 KB),Finance,Attached,Bharat Ram,10-Mar-2026 01:15 PM,,BOQ Comparative Chart,1.0,5898830.0,AKANKSHA ASSOCIATES,INR,"1,413,434.4",AOC,Executive Engineer,Flood Division Balrampur,Silt Clearance work of Suhelawa Drain From Km. 0.000 to 2.200 in Distt- Balrampur,As Per Tender Notice,As Per Tender Notice ,NA ,"32,99,000",Civil Works,NA ,Tender,90.0,20.0,Balrampur,271201.0,NA ,NA ,NA ,Balrampur,No ,No,1.0,SBI Bank,854.0,Nil,Nil,No,"66,000",Yes,fixed,,Nil,Nil,13-Feb-2026 10:00 AM,20-Feb-2026 03:00 PM,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,06-Mar-2026 04:30 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",15/EE/2025-26,2026_UPIDC_1112264_26,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5893882,AMAN CONSTRUCTION,18-Feb-2026 06:50 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5901398,Ms A S Construction,20-Feb-2026 12:20 PM,Rejected-Finance,L2,10-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5898837,M S DHERENDRA KUMAR PANDEY,20-Feb-2026 01:10 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5891853,M/S RAJESH CONSTRUCTION,18-Feb-2026 03:09 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5901261,M/S RAM KRISHAN MISHRA CONTRECTOR,20-Feb-2026 11:19 AM,Rejected-Finance,L3,10-Mar-2026 01:17 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5901636,M/S RUCHI CONSTRUCTION CO,20-Feb-2026 12:19 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5898662,M/S SHIVAM UPADHYAY CONSTRUCTION AND GENERAL ORDER SUPPLIER,19-Feb-2026 08:09 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5901925,M/S SHREE ANSH CONSTRUCTION,20-Feb-2026 01:07 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5894322,M/S SURENDRA SINGH THEKEDAR,19-Feb-2026 08:52 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 03:25 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
