Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,bid open,RAJESH KUMAR,10-Jun-2026 03:13 PM,technical_2148925.pdf,24-Jul-2026,"INR 6,775,604",120.0,RAJESH KUMAR,24-Jul-2026 11:29 PM,48sh.pdf (309.00 KB),AOC OF THE WORK -Construction of interlocking pavement from Village Dhaka Lalpur to Chita Nangla in Development Block Kalan.,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,10-Jun-2026 03:16 PM,16-Jun-2026 12:30 PM,techsummary_2148925.pdf (656.42 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_48,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,Construction of interlocking pavement from Village Dhaka Lalpur to Chita Nangla in Development Block Kalan.,1,6148084,M/S JAI MAA ENTERPRISES,28-May-2026 10:30 AM,Accepted-AOC,DUE TO L1,24-Jul-2026 11:29 PM,Finance,FINANCIAL BID OPEN,RAJESH KUMAR,26-Jun-2026 10:24 PM,finance_2148925.pdf,BOQ Comparative Chart,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILYEEREDDIVSIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,26-Jun-2026 10:27 PM,finsummary_2148925.pdf (1161.30 KB),1.0,6148084.0,M/S JAI MAA ENTERPRISES,INR,"6,775,604",AOC,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,13-May-2026 06:00 PM,28-May-2026 04:00 PM,13-May-2026 06:00 PM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 06:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:30 PM,"1,16,000",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,"2,354",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_48,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of interlocking pavement from Village Dhaka Lalpur to Chita Nangla in Development Block Kalan.,Construction of interlocking pavement from Village Dhaka Lalpur to Chita Nangla in Development Block Kalan.,Please refer Tender documents. ,NA ,"57,68,000",Civil Works - Roads,NA ,Tender,90.0,120.0,KALAN SHAHJAHANPUR,242127.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,14-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6148054,Rakesh Kumar Pathak,28-May-2026 10:08 AM,Rejected-Finance,DUE TO HIGHER RATE,26-Jun-2026 10:27 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
