Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Surendra Mohan Verma,Internal,J.P. SINGH,Surendra Mohan Verma,31-Mar-2026 08:39 PM,01-Apr-2026 09:00 AM,techsummary_2105379.pdf (2764.32 KB),Technical,Fee/PreQual/Technical,Surendra Mohan Verma,31-Mar-2026 08:33 PM,technical_2105379.pdf,09-Apr-2026,"INR 22,287,897.7",60.0,Surendra Mohan Verma,14-Jul-2026 08:06 PM,L_14.pdf (302.00 KB),AOC,1.0,Tender Revocation,Tender Revocation,31-Mar-2026 06:44 PM,Revocatio1891.pdf ,185.4,Technical Opening,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti",2026_UPIDC_1122380_31,04/SE/2025-26,Anti Erosion work Between Km. 6.600 to Km. 6.900 and Protection work of Village Amariya Tola Sangaldeep Between Km. 8.000 to Km. 8.600 of Bhawari Gayghat Azagara bund on left bank of River Rapti in Distt. Siddharthnagar.,1,6009251,GARIMA INFRASTRUCTURE,26-Mar-2026 02:55 PM,Rejected-Finance,L7,02-Apr-2026 02:14 PM,1.0,6008345.0,M/S PRABHAT TRADERS,INR,"22,287,897.7",Surendra Mohan Verma,Internal,J P Singh,Surendra Mohan Verma,02-Apr-2026 02:14 PM,finsummary_2105379.pdf (283.70 KB),Finance,Finance,Surendra Mohan Verma,01-Apr-2026 01:36 PM,finance_2105379.pdf,BOQ Comparative Chart,AOC,Superintending Engineer,"Superintending Engineer, Gandak Flood Circle, Basti","5,274",Nil,Nil,No,21-Mar-2026 03:00 PM,26-Mar-2026 04:00 PM,21-Mar-2026 03:00 PM,26-Mar-2026 03:00 PM,NA ,NA ,21-Mar-2026 03:00 PM,26-Mar-2026 03:00 PM,01-Apr-2026 09:00 AM,"7,84,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti",04/SE/2025-26,2026_UPIDC_1122380_31,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Anti Erosion work Between Km. 6.600 to Km. 6.900 and Protection work of Village Amariya Tola Sangaldeep Between Km. 8.000 to Km. 8.600 of Bhawari Gayghat Azagara bund on left bank of River Rapti in Distt. Siddharthnagar.,Anti Erosion work Between Km. 6.600 to Km. 6.900 and Protection work of Village Amariya Tola Sangaldeep Between Km. 8.000 to Km. 8.600 of Bhawari Gayghat Azagara bund on left bank of River Rapti in Distt. Siddharthnagar.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Siddharthnagar,272153.0,NA ,NA ,NA ,"Superintending Engineer, Gandak Flood Circle, Bast",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6007202,GOMATINETRA CONSTRUCTIONS,25-Mar-2026 02:29 PM,Rejected-Technical,As Per Uploaded,31-Mar-2026 08:39 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6009326,MAMTA SHARMA CONTRACTOR CO BARABANKI,26-Mar-2026 02:52 PM,Rejected-Technical,As Per Uploaded,31-Mar-2026 08:39 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6009043,M/s AWADH ASSOCIATES,26-Mar-2026 12:07 PM,Rejected-Finance,L5,02-Apr-2026 02:14 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6007517,M/S BABY SHAHI,25-Mar-2026 06:54 PM,Rejected-AOC,L2,14-Jul-2026 08:06 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6008345,M/S PRABHAT TRADERS,26-Mar-2026 01:53 PM,Accepted-AOC,L1,14-Jul-2026 08:06 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6009407,M/s Raja Ram Shukla Contractor,26-Mar-2026 01:24 PM,Rejected-Finance,L4,02-Apr-2026 02:14 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6002221,M/s Shrinet Traders,26-Mar-2026 02:51 PM,Rejected-Finance,l3,02-Apr-2026 02:14 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6003986,NAGENDRA PRATAP SINGH,24-Mar-2026 04:19 PM,Rejected-Finance,L9,02-Apr-2026 02:14 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6009959,RANJEET SINGH,26-Mar-2026 02:54 PM,Rejected-Finance,L6,02-Apr-2026 02:14 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
