Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,157/RED/Tender/2026-27,2026_REDUP_1152221_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,857.0,Nil,Nil,No,"28,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical,EE RED Sitapur,"Vikas Bhawan, Sitapur",22-May-2026 06:00 PM,28-May-2026 12:30 PM,22-May-2026 06:00 PM,28-May-2026 12:00 PM,NA ,NA ,22-May-2026 06:00 PM,28-May-2026 12:00 PM,12-Jun-2026 12:30 PM,1.0,SBI Bank,"Installation of Electric High Mast Light 200 Watt (04-way) at 11 locations (as per list of Hon ble Member of Legislative Assembly), Block Mahmudabad, Rampur Mathura. (Vidhan Sabha Mahmudabad)","Installation of Electric High Mast Light 200 Watt (04-way) at 11 locations (as per list of Hon ble Member of Legislative Assembly), Block Mahmudabad, Rampur Mathura. (Vidhan Sabha Mahmudabad)",Please refer Tender documents. ,NA ,"13,30,688",Electrical Works,NA ,Tender,90.0,NA ,"Mahmoodabad, Rampur Mathura, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,AOC,Gyanendra Kumar,Internal,,Ravi Pratap Singh,09-Jun-2026 03:55 PM,12-Jun-2026 12:30 PM,techsummary_2158471.pdf (305.73 KB),Finance,Two bid have been received and send For Financial Evaluation,Pankajkumar Srivastava,12-Jun-2026 04:18 PM,,BOQ Comparative Chart,Ravi Pratap Singh,Internal,,Ravi Pratap Singh,27-Jun-2026 04:43 PM,finsummary_2158471.pdf (518.94 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,29-May-2026 03:10 PM,,1,6147209,M/S PAWAN SUT ENTERPRISES,27-May-2026 10:15 PM,Rejected-Finance,Higher Rate Quoted,27-Jun-2026 04:43 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1152221_1,157/RED/Tender/2026-27,"Installation of Electric High Mast Light 200 Watt (04-way) at 11 locations (as per list of Hon ble Member of Legislative Assembly), Block Mahmudabad, Rampur Mathura. (Vidhan Sabha Mahmudabad)",1.0,6147160.0,M/s YNS CONSTRUCTION,INR,"1,329,224",22-Jul-2026,"INR 1,329,224",90.0,Ravi Pratap Singh,31-Jul-2026 06:23 PM,01.pdf (361.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6147160,M/s YNS CONSTRUCTION,27-May-2026 10:04 PM,Accepted-AOC,L1,31-Jul-2026 06:23 PM,,,,,,,,,,,,,,,,AOC
