Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Summary,Dileep Shukla,29-May-2026 07:07 PM,,04-Jul-2026,"INR 5,516,678.03",270.0,Dileep Shukla,03-Jul-2026 04:55 PM,13_11.pdf (126.00 KB),Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Surya Prakash EE RED Kushinagar, Er Surya Prakash EE RED Deoria, Mr Anop Kumar Rajpoot DAO RED Kushinagar",Dileep Shukla,11-Jun-2026 09:31 AM,16-Jun-2026 12:00 PM,techsummary_2154189.pdf (820.44 KB),1,6140006,MAHI ENTERPRISES,27-May-2026 01:41 PM,Rejected-Finance,Rejected,03-Jul-2026 01:42 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1150423_11,13/SE RED Gorakhpur/Kushinagar/26-27 Dt 02/04/2026,"Under District Kushinagar, Construction of road from Singhasan house to Adhikari Tola in Mathia Chauraha Harijan Basti of Gram Sabha Kathkuiya block Padrauna, Lot No 11",Finance,Summary,Dileep Shukla,16-Jun-2026 01:53 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,03-Jul-2026 01:42 PM,finsummary_2154189.pdf (125.96 KB),1.0,6140275.0,SANVI CONSTRUTION,INR,"5,516,678.03",AOC,"93,560",No,percentage,2.0%,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,13/SE RED Gorakhpur/Kushinagar/26-27 Dt 02/04/2026,2026_REDUP_1150423_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur","2,714",Nil,Nil,No,19-May-2026 12:00 PM,29-May-2026 12:30 PM,19-May-2026 12:00 PM,28-May-2026 12:00 PM,NA ,NA ,19-May-2026 12:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:00 PM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,"Under District Kushinagar, Construction of road from Singhasan house to Adhikari Tola in Mathia Chauraha Harijan Basti of Gram Sabha Kathkuiya block Padrauna, Lot No 11","Under District Kushinagar, Construction of road from Singhasan house to Adhikari Tola in Mathia Chauraha Harijan Basti of Gram Sabha Kathkuiya block Padrauna, Lot No 11",Please refer Tender documents. ,NA ,"46,78,000",Civil Works,NA ,Tender,90.0,NA ,Kushinagar,274403.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",22-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,AOC
,,,,,,,,,,,,,,,,,,2,6140275,SANVI CONSTRUTION,27-May-2026 05:44 PM,Accepted-AOC,AOC,03-Jul-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,AOC
