Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,378/EE/RED/2026-27/05-05-2026,2026_REDUP_1153338_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,767.0,Nil,Nil,No,LOT25 VIKAS KHAND GARWAR ME RATSAR NAHAR PANCHAYAT ME NITYANAND SINGH KE GHAR TAK CC NIRMAN KARYA,LOT25 VIKAS KHAND GARWAR ME RATSAR NAHAR PANCHAYAT ME NITYANAND SINGH KE GHAR TAK CC NIRMAN KARYA,Please refer Tender documents. ,NA ,"2,93,000",Civil Works,NA ,Tender,90.0,90.0,BALLIA,277001.0,NA ,NA ,NA ,EE RED BALLIA,No ,No,"6,000",Yes,fixed,,Nil,Nil,EE RED DIV BALLIA,EE RED DIV BALLIA,27-May-2026 09:00 AM,05-Jun-2026 12:30 PM,27-May-2026 09:00 AM,04-Jun-2026 12:00 PM,NA ,NA ,27-May-2026 09:00 AM,04-Jun-2026 12:00 PM,12-Jun-2026 10:00 AM,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,1.0,SBI Bank,AOC,Finance,2 bid,Ratnesh Kumar Gond,12-Jun-2026 03:09 PM,,BOQ Comparative Chart,EE,Internal,aedao,Ratnesh Kumar Gond,11-Jun-2026 05:51 PM,12-Jun-2026 10:00 AM,techsummary_2160544.pdf (70.55 KB),Technical,2 bid,Ratnesh Kumar Gond,07-Jun-2026 07:38 PM,,EE,Internal,aedao,Ratnesh Kumar Gond,18-Jun-2026 04:25 PM,finsummary_2160544.pdf (70.55 KB),01-Jul-2026,"INR 291,964.79",90.0,Ratnesh Kumar Gond,01-Jul-2026 01:30 PM,rispansiv378.pdf (71.00 KB),aoc,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2026_REDUP_1153338_1,378/EE/RED/2026-27/05-05-2026,LOT25 VIKAS KHAND GARWAR ME RATSAR NAHAR PANCHAYAT ME NITYANAND SINGH KE GHAR TAK CC NIRMAN KARYA,1.0,6162023.0,LAWANGI CONSTRUCTION,INR,"291,964.79",1,6162023,LAWANGI CONSTRUCTION,02-Jun-2026 01:00 PM,Accepted-AOC,aoc,01-Jul-2026 01:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6163684,SONA CONTRUCTION,03-Jun-2026 07:25 AM,Rejected-Finance,second lowest,18-Jun-2026 04:25 PM,AOC
