Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2026_UPPRC_1144932_8,2/PM12/UPPCL/2026-27,"Construction of boundary wall at the cremation ground located on Mota Road in Khailar, Block Babina.",1.0,6103704.0,ONES ASSOCIATION,INR,"1,083,104.75",1,6103704,ONES ASSOCIATION,10-May-2026 09:48 PM,Accepted-AOC,L1,04-Jul-2026 03:37 PM,04-Jul-2026,"INR 1,083,104.75",60.0,PRAVEEN KUMAR SHARMA,04-Jul-2026 03:37 PM,8.pdf (716.00 KB),L1,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,19-Jun-2026 04:28 PM,finsummary_2141080.pdf (191.48 KB),Technical,Two Bids Admitted,PRAVEEN KUMAR SHARMA,18-May-2026 09:33 AM,,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,27-May-2026 12:10 PM,27-May-2026 02:00 PM,techsummary_2141080.pdf (1030.25 KB),Finance,2 bid Admitted,PRAVEEN KUMAR SHARMA,30-May-2026 02:36 PM,finance_2141080.pdf,BOQ Comparative Chart,AOC,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2/PM12/UPPCL/2026-27,2026_UPPRC_1144932_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,05-May-2026 05:00 PM,11-May-2026 04:00 PM,05-May-2026 05:00 PM,11-May-2026 03:00 PM,05-May-2026 05:00 PM ,11-May-2026 03:00 PM ,05-May-2026 05:00 PM,11-May-2026 03:00 PM,27-May-2026 02:00 PM,1.0,SBI Bank,Project Manager Unit 12,129 KK Puri Awas Vikas Jhansi,"Construction of boundary wall at the cremation ground located on Mota Road in Khailar, Block Babina.","Construction of boundary wall at the cremation ground located on Mota Road in Khailar, Block Babina.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Jhansi,284403.0,NA ,NA ,NA ,Jhansi,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,"22,000",No,fixed,,Nil,Nil,"5,900",Nil,Nil,No,AOC
,,,,,,,,,2,6103869,RUDRAKSH ELECTRICAL AND CONSTRUCTION,10-May-2026 10:59 PM,Rejected-AOC,L2,04-Jul-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,AOC
