Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"CONSTRUCTION OF C.C. ROAD AND DRAIN FROM AGOSHWAMI SAREE COLLECTION TO ANRASH KUMAR PARMAR HOUSE AT PARWATI NAGAR COLONY, KAILASH MAHADEV MANDIR ROAD, WARD NO.- 88, AGRA.","CONSTRUCTION OF C.C. ROAD AND DRAIN FROM AGOSHWAMI SAREE COLLECTION TO ANRASH KUMAR PARMAR HOUSE AT PARWATI NAGAR COLONY, KAILASH MAHADEV MANDIR ROAD, WARD NO.- 88, AGRA.",Please refer Tender documents. ,NA ,"13,41,000",Civil Works,NA ,Tender,180.0,180.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,"27,000",No,fixed,,UPSCIDCO,AGRA,1.0,RTGS - RTGS Payment,"1,652",UPSCIDCO,AGRA,No,Executive engineer,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra agra",1.0,Fee/PreQual/Technical,.pdf,NIT,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,28/MLA/AGRANORTH/26-27,2026_SCIDC_1165527_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,01-Jul-2026 05:00 PM,08-Jul-2026 12:00 PM,01-Jul-2026 05:00 PM,08-Jul-2026 12:00 PM,NA ,NA ,01-Jul-2026 05:00 PM,08-Jul-2026 12:00 PM,14-Jul-2026 05:20 PM,AOC,Finance,RATE OF YASH CONSTRUCTION IS ACCEPTED.,Pramod Kumar,18-Jul-2026 02:27 PM,finance_2185948.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,,Pramod Kumar,14-Jul-2026 05:14 PM,14-Jul-2026 05:20 PM,techsummary_2185948.pdf (522.24 KB),Technical,2 out of 3 bids are ok.,Sanjai Gangwar,14-Jul-2026 03:02 PM,technical_2185948.pdf,EXECUTIVE ENGINEER,Internal,,Pramod Kumar,18-Jul-2026 05:20 PM,finsummary_2185948.pdf (942.28 KB),18-Jul-2026,"INR 1,340,470.79",180.0,Pramod Kumar,18-Jul-2026 05:21 PM,28MLA_0001.pdf (942.00 KB),1.0,6238157.0,YASH CONSTRUCTION,INR,"1,340,470.79",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2026_SCIDC_1165527_1,28/MLA/AGRANORTH/26-27,"CONSTRUCTION OF C.C. ROAD AND DRAIN FROM AGOSHWAMI SAREE COLLECTION TO ANRASH KUMAR PARMAR HOUSE AT PARWATI NAGAR COLONY, KAILASH MAHADEV MANDIR ROAD, WARD NO.- 88, AGRA.",1,6239501,M/S SHREE BANKEY BIHARI CONSTRUCTION,08-Jul-2026 07:05 AM,Rejected-AOC,OK,18-Jul-2026 05:21 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6239850,OM CONSTRUCTION AND SUPPLIERS,08-Jul-2026 10:44 AM,Not Admitted-Fee/PreQual/Technical,Others-Tender Fees and EMD not submitted by the bidder.,14-Jul-2026 03:02 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6238157,YASH CONSTRUCTION,07-Jul-2026 07:49 PM,Accepted-AOC,OK,18-Jul-2026 05:21 PM,AOC
