Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1147941_4,25/SE RED Gorakhpur/Maharajganj/26-27 Dt 02/04/2026,"Under District Maharajganj, Construction of road up to Narayan Tola in Laxmipur Deurwa, Lot No 4",1.0,6128799.0,M/S ASHWINI KUMAR PATEL THEKEDAR,INR,"12,772,583.07",1,6128799,M/S ASHWINI KUMAR PATEL THEKEDAR,19-May-2026 06:12 PM,Accepted-AOC,AoC,10-Jul-2026 07:18 PM,10-Jul-2026,"INR 12,772,583.07",270.0,Dileep Shukla,10-Jul-2026 07:17 PM,25_4.pdf (704.00 KB),Er Isham Singh CE RED East,Internal,"Er Isham Singh CE RED East, Er D K Shukla SE RED Gorakhpur Circle, Er P K Bharti EE RED Maharajganj , Er Surya Prakash EE RED Kushinagar, Mr Praveen Kumar DAO RED Maharajganj",Dileep Shukla,14-Jun-2026 02:43 PM,18-Jun-2026 12:00 PM,techsummary_2148301.pdf (469.02 KB),Finance,Summary,Dileep Shukla,18-Jun-2026 02:47 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,10-Jul-2026 06:56 PM,finsummary_2148301.pdf (703.59 KB),Technical,Summary,Dileep Shukla,29-May-2026 05:30 PM,,AOC,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,"2,09,720",No,percentage,2.0%,Nil,Nil,"Under District Maharajganj, Construction of road up to Narayan Tola in Laxmipur Deurwa, Lot No 4","Under District Maharajganj, Construction of road up to Narayan Tola in Laxmipur Deurwa, Lot No 4",Please refer Tender documents. ,NA ,"1,04,86,000",Civil Works,NA ,Tender,90.0,NA ,Maharajganj,273303.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",15-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,1.0,Date,Date,,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",13-May-2026 10:00 AM,29-May-2026 12:30 PM,13-May-2026 10:00 AM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 10:00 AM,28-May-2026 12:00 PM,18-Jun-2026 12:00 PM,"2,714",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,25/SE RED Gorakhpur/Maharajganj/26-27 Dt 02/04/2026,2026_REDUP_1147941_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,6128016,M/S MAA AMBEY CONSTRUCTION COMPANY,20-May-2026 09:46 AM,Rejected-Finance,Rejected,10-Jul-2026 06:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
