S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Document,Gudha bangali colony mai ranjan ke makan se susant ke khet ki or CC interlocking tile work.,Gudha bangali colony mai ranjan ke makan se susant ke khet ki or CC interlocking tile work.,Please refer Tender documents. ,NA ,"11,24,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Meerut,250002.0,NA ,NA ,NA ,EE RED MEERUT DIVISION,No ,No,856.0,Nil,Nil,No,EE RED MEERUT DIVISION,VIKAS BHAWAN 2ND FLOOR COLLECTORATE MEERUT,"24,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,12/RED/Tavrit/26-27/dt-2-4-26,2026_REDUP_1147099_50,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,14-May-2026 10:00 AM,22-May-2026 12:30 PM,14-May-2026 10:00 AM,21-May-2026 12:00 PM,NA ,NA ,14-May-2026 10:00 AM,21-May-2026 12:00 PM,05-Jun-2026 12:30 PM,AOC,EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,03-Jul-2026 11:56 AM,finsummary_2147075.pdf (668.85 KB),Finance,Finance open,SHUBHAM PARLE,03-Jul-2026 11:53 AM,finance_2147075.pdf,BOQ Comparative Chart,1.0,6115463.0,M/S ANUJ INTERLOCKING,INR,"1,120,843.11",1,6116374,ARUN CONSTRUCTIONS,16-May-2026 01:00 PM,Rejected-Finance,L2-Bidder,03-Jul-2026 11:56 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1147099_50,12/RED/Tavrit/26-27/dt-2-4-26,Gudha bangali colony mai ranjan ke makan se susant ke khet ki or CC interlocking tile work.,03-Jul-2026,"INR 1,120,843.11",90.0,SHUBHAM PARLE,03-Jul-2026 11:58 AM,Bond.pdf (669.00 KB),Bond with Anuj Interlocking,Technical,Technical bid open,SHUBHAM PARLE,25-May-2026 12:43 PM,technical_2147075.pdf,EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,30-May-2026 04:43 PM,05-Jun-2026 12:30 PM,techsummary_2147075.pdf (219.98 KB),AOC
,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6115463,M/S ANUJ INTERLOCKING,16-May-2026 02:23 PM,Accepted-AOC,Bond with Anuj Interlocking,03-Jul-2026 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
