Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,303/EE/Azm/E-Tender/2026-27 Dt. 22.06.2026,2026_SCIDC_1162816_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,652",UPSCIDC LTD AZAMGARH,UPSCIDC LTD AZAMGARH,No,"40,000",No,fixed,,UPSCIDC LTD AZAMGARH,UPSCIDC LTD AZAMGARH,Executive Engineer UPSCIDC Ltd Azamgarh,Maa Shanti Niwas Opp. Dr. Javed Aarajibagh Azamgarh 276001,1,FDR - Fixed Deposit,22-Jun-2026 06:00 PM,29-Jun-2026 02:30 PM,22-Jun-2026 06:00 PM,29-Jun-2026 02:00 PM,NA ,NA ,22-Jun-2026 06:00 PM,29-Jun-2026 02:00 PM,03-Jul-2026 01:00 PM,"Construction of Additional Class Room, MDM Shed and Guard Room Village Hariharpur Block Palhani in District Azamgarh.","Construction of Additional Class Room, MDM Shed and Guard Room Village Hariharpur Block Palhani in District Azamgarh.",Please refer tender Documents ,NA ,"20,09,546",Civil Works,NA ,Tender,90.0,NA ,Azamgarh,276001.0,NA ,NA ,NA ,Executive Engineer UPSCIDC Ltd Azamgarh,No ,No,1,Fee/PreQual/Technical,.pdf,Notice,AOC,Technical,Technical,Madan Singh,03-Jul-2026 12:51 PM,technical_2179651.pdf,"Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.,",Madan Singh,03-Jul-2026 02:33 PM,finsummary_2179651.pdf (216.93 KB),Finance,Financial,Madan Singh,03-Jul-2026 02:30 PM,finance_2179651.pdf,BOQ Comparative Chart,"Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.,",Madan Singh,03-Jul-2026 12:54 PM,03-Jul-2026 01:00 PM,techsummary_2179651.pdf (213.71 KB),14-Jul-2026,"INR 2,008,541.23",180.0,Madan Singh,27-Jul-2026 05:40 PM,Order.pdf (936.00 KB),"Construction of Additional Class Room, MDM Shed and Guard Room Village Hariharpur Block Palhani in District Azamgarh.",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,2026_SCIDC_1162816_1,303/EE/Azm/E-Tender/2026-27 Dt. 22.06.2026,"Construction of Additional Class Room, MDM Shed and Guard Room Village Hariharpur Block Palhani in District Azamgarh.",1.0,6218984.0,Ram Naresh Contractor,INR,"2,008,541.23",1,6218984,Ram Naresh Contractor,26-Jun-2026 11:11 AM,Accepted-AOC,Below Rate,27-Jul-2026 05:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6219041,VK ENTERPRISES,26-Jun-2026 11:26 AM,Rejected-Finance,High Rate,03-Jul-2026 02:33 PM,AOC
