Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,25-May-2026 03:04 PM,26-May-2026 12:00 PM,techsummary_2141330.pdf (336.34 KB),01-Jul-2026,"INR 383,027.15",20.0,NEERAJ KUMAR SINGH,01-Jul-2026 03:22 PM,Dhana.pdf (378.00 KB),Accepted,Technical,Admitted,NEERAJ KUMAR SINGH,16-May-2026 06:01 PM,,1.0,6113792.0,RAJKUMAR SHARMA CONTRACTOR,INR,"383,027.15",Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,24-Jun-2026 06:03 PM,finsummary_2141330.pdf (378.23 KB),Finance,Admitted,NEERAJ KUMAR SINGH,26-May-2026 03:54 PM,,BOQ Comparative Chart,1,6096809,HETRAM CONSTRACTOR,08-May-2026 09:39 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 03:04 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,2026_UPIDC_1145201_37,01/EE/2026-27,Clearance of Dhana Escape,AOC,1.0,date and conditions,Date,,266.0,Nil,Nil,No,05-May-2026 05:00 PM,15-May-2026 12:00 PM,05-May-2026 05:00 PM,14-May-2026 05:00 PM,05-May-2026 05:00 PM ,11-May-2026 05:00 PM ,05-May-2026 05:00 PM,14-May-2026 05:00 PM,26-May-2026 12:00 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,01/EE/2026-27,2026_UPIDC_1145201_37,Yes,Open Tender,Item Wise,Works,3.0,No,No,Online,No,No,No,1.0,SBI Bank,Clearance of Dhana Escape,Clearance of Dhana Escape,Please Refer Tender Document ,NA ,"9,16,000",Civil Works,NA ,Tender,90.0,20.0,Clearance of Dhana Escape,282001.0,NA ,NA ,NA ,Agra,No ,No,"19,000",Yes,fixed,,Nil,Nil,1.0,Fee,.pdf,Corrigendum Date,Executive Engineer,"Lower Division Agra Canal, Agra",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6108228,KAMLESH KUMAR CONTRACTOR,12-May-2026 09:16 AM,Rejected-Finance,L3,24-Jun-2026 06:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,NIT,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6106902,K D SOLUTION,11-May-2026 04:14 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 03:04 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6113905,M/s CHANCHAL ASSOCIATES,14-May-2026 01:45 PM,Rejected-Finance,L2,24-Jun-2026 06:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6093171,M/s LATURI SINGH CONTRACTOR & SUPPLIERS,09-May-2026 03:22 PM,Rejected-Finance,L6,24-Jun-2026 06:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6093149,M/S MAYA CONSTRUCTION,10-May-2026 11:02 AM,Rejected-Finance,L7,24-Jun-2026 06:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6093216,M/s SADANBABU CONTRACTOR,10-May-2026 09:35 AM,Rejected-Finance,L8,24-Jun-2026 06:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6115748,M/s Shree Dauji Enterprises,14-May-2026 03:37 PM,Rejected-Finance,L5,24-Jun-2026 06:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6102194,P L TRADERS,10-May-2026 11:08 AM,Rejected-Finance,L4,24-Jun-2026 06:03 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6113792,RAJKUMAR SHARMA CONTRACTOR,14-May-2026 11:28 AM,Accepted-AOC,L1,01-Jul-2026 03:22 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6101626,SALAMAT HUSSAIN,09-May-2026 07:22 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 03:04 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
