S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",840.0,Nil,Nil,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/457 DT-19/01/2026,2026_YEIDA_1108453_14,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"46,800",No,fixed,,Nil,Nil,"Plantation of trees and Shrubs in 75 mtr wide road (Road no. 18, 17, 16) and 100 mtr wide road (Road no. 12) with one year maintenance for Yeida. WC-H","Plantation of trees and Shrubs in 75 mtr wide road (Road no. 18, 17, 16) and 100 mtr wide road (Road no. 12) with one year maintenance for Yeida. WC-H",Please refer Tender documents. ,NA ,"23,36,412",Civil Works,HORTI ,Tender,90.0,450.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,27-Jan-2026 06:55 PM,06-Feb-2026 11:00 AM,27-Jan-2026 06:55 PM,05-Feb-2026 05:00 PM,NA ,NA ,27-Jan-2026 06:55 PM,05-Feb-2026 05:00 PM,06-May-2026 12:00 PM,AOC,Finance,UNDER,RAJENDRA SINGH BHATI,05-Jun-2026 05:30 PM,,BOQ Comparative Chart,Committee,Internal,Committee,BHARAM PAL SINGH,08-Jun-2026 11:29 AM,finsummary_2049351.pdf (86.77 KB),1.0,5840502.0,M/S AMIT GREENTECH,INR,"1,693,665.64",Yamuna Expressway Industrial Development Authority,2026_YEIDA_1108453_14,YEA/GM(PROJECT)/2026/457 DT-19/01/2026,"Plantation of trees and Shrubs in 75 mtr wide road (Road no. 18, 17, 16) and 100 mtr wide road (Road no. 12) with one year maintenance for Yeida. WC-H",1,5840502,M/S AMIT GREENTECH,05-Feb-2026 12:57 PM,Accepted-AOC,L1,08-Jul-2026 01:06 PM,08-Jul-2026,"INR 1,693,665.64",450.0,RAJENDRA SINGH BHATI,08-Jul-2026 01:06 PM,457_14.pdf (1186.00 KB),AOC,Technical,under,RAJENDRA SINGH BHATI,06-May-2026 11:38 AM,,Committee,Internal,Committee,RAJENDRA SINGH BHATI,06-May-2026 11:43 AM,06-May-2026 12:00 PM,techsummary_2049351.pdf (645.28 KB),AOC
,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5845083,M/S AZAD CONSTRUCTION,05-Feb-2026 04:19 PM,Rejected-Finance,L5,08-Jun-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,5844840,M/S J K BUILDERS,05-Feb-2026 03:10 PM,Rejected-Finance,L4,08-Jun-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,5840887,M/S ROOP CHAND,03-Feb-2026 03:59 PM,Rejected-Finance,L3,08-Jun-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,5845001,M/S SHRI KRISHNA PROPERTIES,05-Feb-2026 03:52 PM,Rejected-Finance,L2,08-Jun-2026 11:29 AM,,,,,,,,,,,,,,,,,,,,AOC
