Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,2026_REDUP_1155900_9,04/RED/Tender/File No/Bond Clerk/2026-27Dt.02.04.2026,Bansi Itwa Marg par golhaura bhatthe se talpurwa inter college tak lepan karya,1,6169529,AWADHESH KUMAR,05-Jun-2026 06:04 PM,Rejected-Finance,r,16-Jul-2026 05:19 PM,Er. Munesh Kumar Lodhi,Internal,se,MuneshKumar Lodhi,23-Jun-2026 02:17 PM,29-Jun-2026 12:00 PM,techsummary_2165501.pdf (113.63 KB),Technical,c,MuneshKumar Lodhi,08-Jun-2026 05:48 PM,,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,04/RED/Tender/File No/Bond Clerk/2026-27Dt.02.04.2026,2026_REDUP_1155900_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,01-Jun-2026 12:00 PM,08-Jun-2026 03:30 PM,01-Jun-2026 12:00 PM,06-Jun-2026 12:00 PM,01-Jun-2026 01:41 AM ,06-Jun-2026 12:00 PM ,01-Jun-2026 12:00 PM,06-Jun-2026 12:00 PM,29-Jun-2026 12:00 PM,SE RED BASTI,O/O SE RED BASTI,1,Fee/PreQual/Technical,.pdf,tecnical,"1,49,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Bansi Itwa Marg par golhaura bhatthe se talpurwa inter college tak lepan karya,Bansi Itwa Marg par golhaura bhatthe se talpurwa inter college tak lepan karya,as per sbd ,NA ,"74,58,000",Civil Works,NA ,Tender,90.0,180.0,WORKS,272001.0,NA ,NA ,NA ,O/O SE RED BASTI,No ,No,"2,714",Nil,Nil,No,AOC
,,,,2,6166148,M/S SUNIL KUMAR JAISWAL,05-Jun-2026 10:41 AM,Accepted-AOC,a,16-Jul-2026 05:25 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
