Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Gorakhpur Industrial Development Authority,2026_UGIDA_1160347_1,1537/GIDA/2026-27 DT. 11.06.2026,Strengthening Cum Repair And Maint of street light of NH 28 From Sahjanwa to Nausar Gida Gorakhpur,1.0,6213290.0,Rishi Trading Co.,INR,"3,780,659.74",1.0,6214462.0,Gaurav electrical works,23-Jun-2026 12:10 PM,Rejected-Finance,L2,08-Jul-2026 06:41 PM,08-Jul-2026,"INR 3,780,659.74",180.0,KAPIL SHARMA,08-Jul-2026 06:46 PM,1537.pdf (440.00 KB),CEO GIDA,Internal,SR.M(E/M)GM(F)ACEO,KAPIL SHARMA,02-Jul-2026 05:36 PM,02-Jul-2026 05:40 PM,techsummary_2174612.pdf (452.19 KB),Finance,BID OPENED,VIBHOR TYAGI,02-Jul-2026 06:14 PM,,BOQ Comparative Chart,CEO GIDA,Internal,SR.M(E/M)GM(F)ACEO,KAPIL SHARMA,08-Jul-2026 06:41 PM,finsummary_2174612.pdf (440.47 KB),Technical,BID OPENED,VIBHOR TYAGI,23-Jun-2026 04:44 PM,,AOC,"2,950",Nil,Nil,No,CEO GIDA,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,Strengthening Cum Repair And Maint of street light of NH 28 From Sahjanwa to Nausar Gida Gorakhpur,Strengthening Cum Repair And Maint of street light of NH 28 From Sahjanwa to Nausar Gida Gorakhpur,Please refer Tender documents. ,NA ,"39,88,458",Electrical Works,NA ,Tender,90.0,180.0,GIDA GORAKHPUR,273212.0,NA ,NA ,NA ,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,No ,No,Gorakhpur Industrial Development Authority,1537/GIDA/2026-27 DT. 11.06.2026,2026_UGIDA_1160347_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"3,99,000",No,fixed,,Nil,Nil,15-Jun-2026 11:00 AM,23-Jun-2026 04:00 PM,15-Jun-2026 11:00 AM,23-Jun-2026 03:00 PM,NA ,NA ,15-Jun-2026 11:00 AM,23-Jun-2026 03:00 PM,02-Jul-2026 05:40 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC
,,,,,,,,,2.0,6213290.0,Rishi Trading Co.,22-Jun-2026 09:05 PM,Accepted-AOC,L1,08-Jul-2026 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
