S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6113347.0,M/s V.K. Enterprises,INR,"3,915,777",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE LUCKNOW,2026_REDUP_1146634_1,116/EE RED Lucknow/25-26 Dt 13/04/2026,"Under District Lucknow, Construction work at Seva Departan Sansthan, Bindowa, Mohanlalganj, Lucknow, Lot No 1",1,6111657,M/S EHRAR KHAN CONTRACTOR,13-May-2026 04:51 PM,Rejected-Finance,Rejected,31-Jul-2026 11:48 AM,01-Aug-2026,"INR 3,915,777",90.0,Sarita Kumari,31-Jul-2026 11:51 AM,116_1.pdf (272.00 KB),Er Sarita Kumari EE RED Lucknow,Internal,,Manoj Shukla,11-Jun-2026 02:26 PM,11-Jun-2026 02:30 PM,techsummary_2144423.pdf (161.13 KB),Finance,Summary,Manoj Shukla,11-Jun-2026 02:31 PM,,BOQ Comparative Chart,Er Sarita Kumari EE RED Lucknow,Internal,,Sarita Kumari,31-Jul-2026 11:48 AM,finsummary_2144423.pdf (272.00 KB),Technical,Summary,Ashutosh Arora,15-May-2026 02:07 PM,,AOC,"Under District Lucknow, Construction work at Seva Departan Sansthan, Bindowa, Mohanlalganj, Lucknow, Lot No 1","Under District Lucknow, Construction work at Seva Departan Sansthan, Bindowa, Mohanlalganj, Lucknow, Lot No 1",Please refer Tender documents. ,NA ,"39,95,000",Civil Works,NA ,Tender,90.0,NA ,Lucknow,226001.0,EE RED Lucknow ,"EE RED Lucknow Near Vikas Bhawan, Sarvoday Nagar, Lucknow  ",11-May-2026 11:00 AM ,EE RED Lucknow,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE LUCKNOW,116/EE RED Lucknow/25-26 Dt 13/04/2026,2026_REDUP_1146634_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Lucknow,"EE RED Lucknow Near Vikas Bhawan, Sarvoday Nagar, Lucknow",1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,08-May-2026 01:10 PM,14-May-2026 12:30 PM,08-May-2026 01:10 PM,14-May-2026 12:00 PM,NA ,NA ,08-May-2026 01:10 PM,14-May-2026 12:00 PM,11-Jun-2026 02:30 PM,"2,720",Nil,Nil,No,"80,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6113347,M/s V.K. Enterprises,14-May-2026 11:30 AM,Accepted-AOC,AoC,31-Jul-2026 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,AOC
