Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,23/MLA/AGRANORTH/26-27,2026_SCIDC_1165582_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"CONSTRUCTION OF C.C. ROAD AND DRAIN FROM SHRI VINAY TIWARI HOUSE TO SHRI GANGWAR JI HOUSE AT GALI NO.- 3, SHASHTRI NAGAR, WARD NO.- 33, KHANDARI, AGRA.","CONSTRUCTION OF C.C. ROAD AND DRAIN FROM SHRI VINAY TIWARI HOUSE TO SHRI GANGWAR JI HOUSE AT GALI NO.- 3, SHASHTRI NAGAR, WARD NO.- 33, KHANDARI, AGRA.",Please refer Tender documents. ,NA ,"1,66,000",Civil Works,NA ,Tender,180.0,180.0,AGRA,282007.0,NA ,NA ,NA ,EXECUTIVE ENGINEER,No ,No,01-Jul-2026 06:00 PM,08-Jul-2026 01:00 PM,01-Jul-2026 06:00 PM,08-Jul-2026 12:00 PM,NA ,NA ,01-Jul-2026 06:00 PM,08-Jul-2026 12:00 PM,14-Jul-2026 03:35 PM,531.0,UPSCIDCO,AGRA,No,"3,000",No,fixed,,UPSCIDCO,AGRA,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Agra.","Ex. En. Office H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.",1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,EXECUTIVE ENGINEER,Internal,,Sanjai Gangwar,14-Jul-2026 03:32 PM,14-Jul-2026 03:35 PM,techsummary_2186038.pdf (559.14 KB),Finance,RATE OF YASH CONSTRUCTION IS ACCEPTED.,Pramod Kumar,18-Jul-2026 02:38 PM,finance_2186038.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,,Sanjai Gangwar,18-Jul-2026 04:38 PM,finsummary_2186038.pdf (956.71 KB),Technical,2 out of 3 bids are ok.,Sanjai Gangwar,14-Jul-2026 02:00 PM,technical_2186038.pdf,1.0,6237959.0,YASH CONSTRUCTION,INR,"166,058.39",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,2026_SCIDC_1165582_1,23/MLA/AGRANORTH/26-27,"CONSTRUCTION OF C.C. ROAD AND DRAIN FROM SHRI VINAY TIWARI HOUSE TO SHRI GANGWAR JI HOUSE AT GALI NO.- 3, SHASHTRI NAGAR, WARD NO.- 33, KHANDARI, AGRA.",1,6239262,M/S SHREE BANKEY BIHARI CONSTRUCTION,08-Jul-2026 12:49 AM,Rejected-AOC,OK,18-Jul-2026 04:40 PM,18-Jul-2026,"INR 166,058.39",180.0,Sanjai Gangwar,18-Jul-2026 04:40 PM,23MLA_0001.pdf (957.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6239755,OM CONSTRUCTION AND SUPPLIERS,08-Jul-2026 10:08 AM,Not Admitted-Fee/PreQual/Technical,Others-Tender Fees and EMD not submitted by the bidder.,14-Jul-2026 02:00 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6237959,YASH CONSTRUCTION,07-Jul-2026 07:40 PM,Accepted-AOC,OK,18-Jul-2026 04:40 PM,,,,,,,AOC
