S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,6105072.0,M/s Pradeep Construction,INR,"148,210",U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,2026_UPIDC_1145201_6,01/EE/2026-27,Clearance of Jajau Drain,1,6115936,Bhartiya Inferatech,14-May-2026 03:27 PM,Rejected-Technical,Due to Document not Submitted,25-May-2026 01:29 PM,02-Jul-2026,"INR 148,210",20.0,NEERAJ KUMAR SINGH,02-Jul-2026 11:09 AM,Jajau.pdf (377.00 KB),Accepted,Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,25-May-2026 01:29 PM,26-May-2026 12:00 PM,techsummary_2140870.pdf (540.89 KB),Finance,Admitted,NEERAJ KUMAR SINGH,26-May-2026 04:37 PM,,BOQ Comparative Chart,Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,24-Jun-2026 05:20 PM,finsummary_2140870.pdf (377.28 KB),Technical,Admitted,NEERAJ KUMAR SINGH,16-May-2026 03:51 PM,,AOC,1.0,SBI Bank,1.0,Fee,.pdf,Corrigendum Date,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,01/EE/2026-27,2026_UPIDC_1145201_6,Yes,Open Tender,Item Wise,Works,3.0,No,No,Online,No,No,No,Executive Engineer,"Lower Division Agra Canal, Agra",Clearance of Jajau Drain,Clearance of Jajau Drain,Please Refer Tender Document ,NA ,"3,17,000",Civil Works,NA ,Tender,90.0,20.0,Clearance of Jajau Drain,282001.0,NA ,NA ,NA ,Agra,No ,No,177.0,Nil,Nil,No,05-May-2026 05:00 PM,15-May-2026 12:00 PM,05-May-2026 05:00 PM,14-May-2026 05:00 PM,05-May-2026 05:00 PM ,11-May-2026 05:00 PM ,05-May-2026 05:00 PM,14-May-2026 05:00 PM,26-May-2026 12:00 PM,"7,000",Yes,fixed,,Nil,Nil,1.0,date and conditions,Date,,AOC
,,,,,,,,,2,6103627,M.K. ENTERPRISES,10-May-2026 06:53 PM,Rejected-Technical,Due to Document not Submitted,25-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,PreQual/Technical,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6115089,M/s KAMAL CONSTRUCTION,14-May-2026 01:25 PM,Rejected-Finance,L2,24-Jun-2026 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6105072,M/s Pradeep Construction,11-May-2026 10:14 AM,Accepted-AOC,L1,02-Jul-2026 11:09 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6115253,M/s SHASHAVEER SINGH CONTRACTOR AND SUPPLIERS,14-May-2026 03:08 PM,Rejected-Technical,Due to Document not Submitted,25-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,6102504,OM CONTRACTOR,14-May-2026 08:38 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
