Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1162515_6,724/E.E./RED/03-06-2026,Const. Of C. C Road and Drain from Link road H/O Osan singh S/O Phulabari singh to H/O Mandar singh in village Bhanpur(G.B. Bhanpur) Mainpuri.,1.0,6230131.0,M/s Mani Construction,INR,"1,013,558",1,6230131,M/s Mani Construction,03-Jul-2026 11:42 AM,Accepted-AOC,L-1,31-Jul-2026 05:29 PM,15-Jul-2026,"INR 1,013,558",90.0,Nuzahat Parveen,31-Jul-2026 05:29 PM,BHANPUR_0001.pdf (236.00 KB),E.E.Nuzhat Parveen,Internal,"A.E.RED, D.A.O.RED",Nuzahat Parveen,13-Jul-2026 01:33 PM,finsummary_2179083.pdf (349.56 KB),Technical,all bids admitted,Nuzahat Parveen,03-Jul-2026 03:58 PM,,E.E.Nuzhat Parveen,Internal,"A.E.R.E.D., D.A.O.RED",MUKESH VERMA,04-Jul-2026 04:18 PM,09-Jul-2026 10:00 AM,techsummary_2179083.pdf (293.20 KB),Finance,All bids admitted,Nuzahat Parveen,09-Jul-2026 04:24 PM,,BOQ Comparative Chart,AOC,20-Jun-2026 06:50 PM,03-Jul-2026 12:30 PM,20-Jun-2026 06:50 PM,03-Jul-2026 12:00 PM,NA ,NA ,20-Jun-2026 06:50 PM,03-Jul-2026 12:00 PM,09-Jul-2026 10:00 AM,Const. Of C. C Road and Drain from Link road H/O Osan singh S/O Phulabari singh to H/O Mandar singh in village Bhanpur(G.B. Bhanpur) Mainpuri.,Const. Of C. C Road and Drain from Link road H/O Osan singh S/O Phulabari singh to H/O Mandar singh in village Bhanpur(G.B. Bhanpur) Mainpuri.,Please refer Tender documents. ,NA ,"10,15,080",Civil Works - Roads,NA ,Tender,90.0,90.0,Mainpuri,205001.0,NA ,NA ,NA ,Vikas bhawan Mainpuri,No ,No,766.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,724/E.E./RED/03-06-2026,2026_REDUP_1162515_6,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,Executive engineer,Executive engineer R.E.D. Vikas bhawan Mainpuri,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Financial bid,"20,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6229427,M/s SHRI GANESH CONSTRUCTION AND SUPPLIERS,03-Jul-2026 10:09 AM,Rejected-Finance,L-3,13-Jul-2026 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,AOC
,,,,,,,,,3,6229348,shri manoj yadav,02-Jul-2026 10:11 PM,Rejected-Finance,L-2,13-Jul-2026 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
