Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,10-Jul-2026 06:33 PM,13-Jul-2026 01:00 PM,techsummary_2162518.pdf (779.07 KB),Technical,d,Devi Prasad Mishra,02-Jun-2026 06:25 PM,,29-Jul-2026,"INR 2,825,592.49",90.0,Satyaprakash Mishra,29-Jul-2026 07:26 PM,akauriya.pdf (655.00 KB),AWARD OF CONTRACT,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1154375_14,Notice No. 181 date 29-04-2026,Construction of Interlocking road at block Shankargarh ke gram Akauriya Mauja pure gagach to ram kishor dalit to gandhi aadiwashi chaurahe to Basant Lal aadiwashi house,1,6156754,ABHISHEK ASSOCIATE,31-May-2026 08:10 PM,Rejected-Finance,higher,28-Jul-2026 03:47 PM,1.0,6156730.0,MS Singh Construction,INR,"2,825,592.49",Finance,d,Devi Prasad Mishra,13-Jul-2026 04:07 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,,Satyaprakash Mishra,28-Jul-2026 03:47 PM,finsummary_2162518.pdf (1457.54 KB),AOC,eeredallahabad,eeredallahabad,1,Fee/PreQual/Technical,.pdf,pdf,27-May-2026 09:00 AM,02-Jun-2026 02:00 PM,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,NA ,NA ,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,13-Jul-2026 01:00 PM,"57,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 181 date 29-04-2026,2026_REDUP_1154375_14,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,500",Nil,Nil,No,Construction of Interlocking road at block Shankargarh ke gram Akauriya Mauja pure gagach to ram kishor dalit to gandhi aadiwashi chaurahe to Basant Lal aadiwashi house,Construction of Interlocking road at block Shankargarh ke gram Akauriya Mauja pure gagach to ram kishor dalit to gandhi aadiwashi chaurahe to Basant Lal aadiwashi house,Please refer Tender documents. ,NA ,"28,37,000",Civil Works,NA ,Tender,90.0,NA ,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6156730,MS Singh Construction,02-Jun-2026 08:14 AM,Accepted-AOC,accepted,29-Jul-2026 07:26 PM,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
