Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,08/MLC/MATHURA/26-27,2026_SCIDC_1158206_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Agra.","Ex. En. Office, H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.",29-Jun-2026 06:00 PM,06-Jul-2026 01:00 PM,29-Jun-2026 06:00 PM,06-Jul-2026 12:00 PM,NA ,NA ,29-Jun-2026 06:00 PM,06-Jul-2026 12:00 PM,09-Jul-2026 12:20 PM,1,Fee/PreQual/Technical,.pdf,NIT,1.0,RTGS - RTGS Payment,"1,652",UPSCIDCO,MATHURA,No,"CONSTRUCTION OF INTERLOCKING WORK AT SHAMSHAN IN VILLAGE- GHASIYA GARHI, BLOCK- NAUHJHIL, MATHURA.","CONSTRUCTION OF INTERLOCKING WORK AT SHAMSHAN IN VILLAGE- GHASIYA GARHI, BLOCK- NAUHJHIL, MATHURA.",Please refer Tender documents. ,NA ,"12,57,000",Civil Works,NA ,Tender,180.0,180.0,MATHURA,281001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER,No ,No,"25,000",No,fixed,,UPSCIDCO,MATHURA,AOC,EXECUTIVE ENGINEER,Internal,,Sanjai Gangwar,13-Jul-2026 12:08 PM,finsummary_2184474.pdf (745.23 KB),Technical,Found Technically Qualified.,Sanjai Gangwar,09-Jul-2026 11:36 AM,technical_2184474.pdf,EXECUTIVE ENGINEER,Internal,,Sanjai Gangwar,09-Jul-2026 12:16 PM,09-Jul-2026 12:20 PM,techsummary_2184474.pdf (233.64 KB),Finance,Rate of M/s Jagvir Construction and Supplier is accepted.,Sanjai Gangwar,13-Jul-2026 11:09 AM,finance_2184474.pdf,BOQ Comparative Chart,1.0,6231779.0,Jagvir Construction and Supplier,04-Jul-2026 03:28 PM,Accepted-AOC,OK,13-Jul-2026 12:25 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,2026_SCIDC_1158206_3,08/MLC/MATHURA/26-27,"CONSTRUCTION OF INTERLOCKING WORK AT SHAMSHAN IN VILLAGE- GHASIYA GARHI, BLOCK- NAUHJHIL, MATHURA.",1.0,6231779.0,Jagvir Construction and Supplier,INR,"1,255,591.97",13-Jul-2026,"INR 1,255,591.97",180.0,Sanjai Gangwar,13-Jul-2026 12:25 PM,fr8.pdf (745.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
