Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
LOT NO 05 VIKAS KHAND DALMAU MAI SWARGIYE ANIL SHUKLA KE BORING SE VIRENDRA SINGH KE GHAR TAK GRAM PURE MUDHILIN BARARA BURJ CC ROAD NIRMAN KARYA,LOT NO 05 VIKAS KHAND DALMAU MAI SWARGIYE ANIL SHUKLA KE BORING SE VIRENDRA SINGH KE GHAR TAK GRAM PURE MUDHILIN BARARA BURJ CC ROAD NIRMAN KARYA,Please refer Tender documents. ,NA ,"17,35,000",Civil Works,NA ,Tender,90.0,90.0,DALMAU,229001.0,NA ,NA ,NA ,EERED RBL,No ,No,EERED RBL,SONIA NAGAR RAEBARELI,1.0,Fee/PreQual/Technical,.pdf,SBDNIT,1.0,SBI Bank,"34,700",Yes,fixed,,Nil,Nil,250.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE RAEBARELI,360/EE/RED/RBLDT29.04.2026,2026_REDUP_1147726_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-May-2026 09:00 AM,30-May-2026 12:30 PM,18-May-2026 09:00 AM,30-May-2026 12:00 PM,NA ,NA ,18-May-2026 09:00 AM,30-May-2026 12:00 PM,30-Jun-2026 12:30 PM,AOC,EERED,Internal,,Neelabh Krishna,24-Jun-2026 05:21 PM,30-Jun-2026 12:30 PM,techsummary_2147679.pdf (314.90 KB),Finance,FINANCIAL,DEEPAK SINGH,30-Jun-2026 02:05 PM,,BOQ Comparative Chart,EERED RBL,Internal,,DEEPAK SINGH,04-Jul-2026 12:12 PM,finsummary_2147679.pdf (100.94 KB),Technical,TECHNICAL,Neelabh Krishna,15-Jun-2026 01:04 PM,,1,6152113,bsa construction,29-May-2026 05:36 PM,Rejected-Technical,TECHNICALLY DISQUALFIED,24-Jun-2026 05:21 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE RAEBARELI,2026_REDUP_1147726_5,360/EE/RED/RBLDT29.04.2026,LOT NO 05 VIKAS KHAND DALMAU MAI SWARGIYE ANIL SHUKLA KE BORING SE VIRENDRA SINGH KE GHAR TAK GRAM PURE MUDHILIN BARARA BURJ CC ROAD NIRMAN KARYA,1.0,6151404.0,Ms Vinod Kumar Mishra,INR,"1,468,127.73",10-Jul-2026,"INR 1,468,127.73",90.0,DEEPAK SINGH,18-Jul-2026 01:09 PM,anilshukla.pdf (289.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6152147,M/S ABHAY DATA CONSTRUCTION,29-May-2026 10:14 PM,Rejected-Finance,L2,04-Jul-2026 12:12 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6151404,Ms Vinod Kumar Mishra,29-May-2026 05:00 PM,Accepted-AOC,L1,18-Jul-2026 01:09 PM,,,,,,,,,,,,,,,,AOC
