S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2742/EE TENDER/KUSHINAGAR,2026_REDUP_1150065_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Vikas Khand Vishunpura ke Gram Sabha Ekwanahi Urf Bhagwanpur ke Belwa Tola se Lakshpur sampark marg ka nirman karya.,Vikas Khand Vishunpura ke Gram Sabha Ekwanahi Urf Bhagwanpur ke Belwa Tola se Lakshpur sampark marg ka nirman karya.,Please refer Tender documents. ,NA ,"32,84,000",Civil Works,NA ,Tender,90.0,90.0,WORK,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,EE RED KUSHINAGAR,EE RED KUSHINAGAR,"2,336",Nil,Nil,No,22-May-2026 09:00 AM,29-May-2026 03:00 PM,22-May-2026 09:00 AM,29-May-2026 12:00 PM,NA ,NA ,22-May-2026 09:00 AM,29-May-2026 12:00 PM,01-Jun-2026 06:00 PM,"66,000",No,fixed,,Nil,Nil,AOC,EE RED KUSHINAGAR,Internal,,GIRISH KUMAR,17-Jul-2026 04:54 PM,finsummary_2153447.pdf (87.77 KB),Technical,Bid Opening Summary,Praveen Kumar,30-May-2026 09:18 AM,,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,01-Jun-2026 04:50 PM,01-Jun-2026 06:00 PM,techsummary_2153447.pdf (942.12 KB),Finance,Bid Opening Summary,Praveen Kumar,05-Jun-2026 01:40 PM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1150065_9,2742/EE TENDER/KUSHINAGAR,Vikas Khand Vishunpura ke Gram Sabha Ekwanahi Urf Bhagwanpur ke Belwa Tola se Lakshpur sampark marg ka nirman karya.,1.0,6141067.0,M/S AJAY KUMAR LOHIA CONTRACTOR AND SUPPLIERS,INR,100.0,1,6141067,M/S AJAY KUMAR LOHIA CONTRACTOR AND SUPPLIERS,26-May-2026 01:47 PM,Accepted-AOC,L1,18-Jul-2026 10:33 AM,18-Jul-2026,INR 100,90.0,GIRISH KUMAR,18-Jul-2026 10:33 AM,9.pdf (88.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6141117,YUVRAJ CONSTRUCTION,26-May-2026 01:57 PM,Rejected-Finance,L2,17-Jul-2026 04:54 PM,,,,,,,AOC
