Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Tender Stage
29-Jul-2026,"INR 14,244,517.34",365.0,SURESH CHANDRA YADAV,29-Jul-2026 03:56 PM,Agr47.pdf (582.00 KB),Enclosed,1.0,6130686.0,M/S ABHINANDAN CONSTRUCTION,INR,"14,244,517.34",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1148654_1,26/UPPCL/GM-1/2026-27/E-TENDER Dated-07.05.2026,Proposed Development Works for Model Farm at Govt. Krishi Prachetra at Mangurahi District-Sonbhadra (U.P.),1,6123482,Adi shakti construction,20-May-2026 08:17 AM,Rejected-AOC,Accept,29-Jul-2026 03:56 PM,Finance,Enclosed,SURESH CHANDRA YADAV,29-Jul-2026 03:44 PM,finance_2150242.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-16, Mirzapur, Accountant Unit-16, Mirzapur, General Manager (Technical), Lucknow",SURESH CHANDRA YADAV,30-Jun-2026 01:45 PM,01-Jul-2026 02:00 PM,techsummary_2150242.pdf (456.01 KB),Technical,Enclosed,SURESH CHANDRA YADAV,30-Jun-2026 01:37 PM,technical_2150242.pdf,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit16, Mirzapur, Acountant Unit-16, Mirzapur, General Manager (Technical), Lucknow",SURESH CHANDRA YADAV,29-Jul-2026 03:50 PM,finsummary_2150242.pdf (456.01 KB),AOC,"17,700",Nil,Nil,No,1.0,Date1,Date,,15-May-2026 11:00 AM,23-May-2026 03:00 PM,15-May-2026 11:00 AM,23-May-2026 02:00 PM,NA ,NA ,15-May-2026 11:00 AM,23-May-2026 02:00 PM,01-Jul-2026 02:00 PM,"2,95,000",No,fixed,,Nil,Nil,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,26/UPPCL/GM-1/2026-27/E-TENDER Dated-07.05.2026,2026_UPPRC_1148654_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BIDDOC,Proposed Development Works for Model Farm at Govt. Krishi Prachetra at Mangurahi District-Sonbhadra (U.P.),Proposed Development Works for Model Farm at Govt. Krishi Prachetra at Mangurahi District-Sonbhadra (U.P.),Please refer Tender documents. ,NA ,"1,47,74,000",Civil Works - Buildings,NA ,Tender,90.0,365.0,District-Sonbhadra (U.P.),231001.0,NA ,NA ,NA ,Prayagarj,No ,No,"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230/1A, Mehdaury, Teliyarganj, District-Prayagraj.",1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,6129714,B K TRADERS,20-May-2026 08:29 AM,Rejected-AOC,Accept,29-Jul-2026 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6128326,JAI MAA SIDDHIDATRI ENTERPRISES,23-May-2026 07:41 AM,Rejected-AOC,Accept,29-Jul-2026 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6130276,KAMLESHWAR PRATAP SINGH,23-May-2026 08:50 AM,Rejected-Technical,Reject,30-Jun-2026 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6127532,Maa Vijaya Construction,21-May-2026 12:26 PM,Rejected-Technical,Reject,30-Jun-2026 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6130686,M/S ABHINANDAN CONSTRUCTION,20-May-2026 12:37 PM,Accepted-AOC,Accept,29-Jul-2026 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,6130536,M/S KHUSHI ENTERPRISES,20-May-2026 01:49 PM,Rejected-Technical,Reject,30-Jun-2026 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,6130453,M/S MAA VINDHYAVASINI CONSTRUCTION,20-May-2026 11:43 AM,Rejected-Technical,Reject,30-Jun-2026 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,6128772,M/s Singh Traders,22-May-2026 12:16 PM,Rejected-AOC,Accept,29-Jul-2026 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,6130280,M/S S K V ENTERPRISES,20-May-2026 11:06 AM,Rejected-AOC,Accept,29-Jul-2026 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
