Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
CONSTRUCTION OF V.R.B AT KM. 9.420 OF KUNDARKI DY. UNDER PROJECT M.G.C. STAGE-II,CONSTRUCTION OF V.R.B AT KM. 9.420 OF KUNDARKI DY. UNDER PROJECT M.G.C. STAGE-II,Please refer Tender documents. ,NA ,"14,45,000",Civil Works - Canal,NA ,Tender,90.0,NA ,AMROHA,244222.0,NA ,NA ,NA ,EEMGCCD4 AMROHA,No ,No,EEMGCCD4 AMROHA,EEMGCCD4 AMROHA,854.0,Nil,Nil,No,10-Jun-2026 03:00 PM,16-Jun-2026 11:00 AM,10-Jun-2026 03:00 PM,15-Jun-2026 05:00 PM,NA ,NA ,10-Jun-2026 03:00 PM,15-Jun-2026 05:00 PM,18-Jun-2026 11:00 AM,"28,900",No,percentage,2.0%,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-4, Amroha",02/EE/2026-27,2026_UPIDC_1158959_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,AOC,Finance,Finance,SYED SHAHNAWAZ ALI KIRMANI,07-Jul-2026 03:54 PM,,BOQ Comparative Chart,S.S.A. KIRMANI,Internal,EEMANOJKUMAR13,SYED SHAHNAWAZ ALI KIRMANI,18-Jun-2026 10:48 AM,18-Jun-2026 11:00 AM,techsummary_2172241.pdf (672.35 KB),Technical,Technical,SYED SHAHNAWAZ ALI KIRMANI,18-Jun-2026 10:27 AM,,S.S.A. KIRMANI,Internal,EEMANOJKUMAR13,SYED SHAHNAWAZ ALI KIRMANI,07-Jul-2026 04:19 PM,finsummary_2172241.pdf (672.35 KB),07-Jul-2026,"INR 1,276,328.85",30.0,SYED SHAHNAWAZ ALI KIRMANI,08-Jul-2026 06:22 PM,aocA.pdf (1193.00 KB),aoc,1.0,6193882.0,M/S Harish Kumar Contractor,INR,"1,276,328.85","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-4, Amroha",2026_UPIDC_1158959_9,02/EE/2026-27,CONSTRUCTION OF V.R.B AT KM. 9.420 OF KUNDARKI DY. UNDER PROJECT M.G.C. STAGE-II,1,6193882,M/S Harish Kumar Contractor,14-Jun-2026 09:04 PM,Accepted-AOC,aoc,08-Jul-2026 06:22 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6194775,M/S M W CONSTRUCTIONS,15-Jun-2026 12:02 PM,Rejected-Finance,L2,07-Jul-2026 04:19 PM,AOC
