Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
30-Jul-2026,"INR 1,518,564.06",65.0,ANIL KUMAR SINGH,30-Jul-2026 03:45 PM,4_1POW2526.pdf (1079.00 KB),U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-16 Mirzapur,2026_UPPRC_1132514_1,04/PM-16/UPPCL/2025-26,"CONSTRUCTION OF CYCLE STAND AT PT. DINDAYAL UPADHYAYA RAJKIYA MODEL INTER COLLEGE MULADIH AND RAJKIYA HIGH SCHOOL PARSAUNA, DISTT- SONEBHDRA",1.0,6039685.0,M/S RADHA KRISHNA ENTERPRISES,INR,"1,518,564.06",1,6039691,Maa Vijaya Construction,12-Apr-2026 12:38 PM,Rejected-AOC,L2 Firm,30-Jul-2026 03:45 PM,Technical,Enclosed,ANIL KUMAR SINGH,24-Apr-2026 05:21 PM,technical_2113733.pdf,Project Manager Unit-16,Internal,"Project Manager Unit-16, Project Manager Unit-02, Accountant",ANIL KUMAR SINGH,30-Jul-2026 03:41 PM,finsummary_2113733.pdf (1471.88 KB),Finance,Enclosed,ANIL KUMAR SINGH,30-Jul-2026 03:20 PM,finance_2113733.pdf,BOQ Comparative Chart,Project Manager Unit-16,Internal,"Project Manager Unit-16, Project Manager Unit-2, Accountant",ANIL KUMAR SINGH,24-Apr-2026 05:43 PM,24-Apr-2026 06:00 PM,techsummary_2113733.pdf (815.84 KB),AOC,"30,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Project Manager Unit-16,"Office of The Project Manager Unit-16, Near Suzuki Bike Agency, Patel Chauraha Bharuhana Mirzapur",1,Fee/PreQual/Technical,.pdf,BID Document,"5,900",Nil,Nil,No,02-Apr-2026 09:00 AM,13-Apr-2026 04:00 PM,02-Apr-2026 09:00 AM,13-Apr-2026 02:00 PM,NA ,NA ,02-Apr-2026 09:00 AM,13-Apr-2026 02:00 PM,24-Apr-2026 06:00 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-16 Mirzapur,04/PM-16/UPPCL/2025-26,2026_UPPRC_1132514_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"CONSTRUCTION OF CYCLE STAND AT PT. DINDAYAL UPADHYAYA RAJKIYA MODEL INTER COLLEGE MULADIH AND RAJKIYA HIGH SCHOOL PARSAUNA, DISTT- SONEBHDRA","CONSTRUCTION OF CYCLE STAND AT PT. DINDAYAL UPADHYAYA RAJKIYA MODEL INTER COLLEGE MULADIH AND RAJKIYA HIGH SCHOOL PARSAUNA, DISTT- SONEBHDRA",As per BID Document ,NA ,"15,21,000",Civil Works,NA ,Tender,90.0,120.0,"PARSAUNA, DISTT- SONEBHDRA",231216.0,NA ,NA ,NA ,Mirzapur,No ,No,AOC
,,,,,,,,,,,,,,,2,6039685,M/S RADHA KRISHNA ENTERPRISES,12-Apr-2026 01:21 PM,Accepted-AOC,L1 Firm,30-Jul-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
